,character,line #,line
0,MOTHER,0,You feeling any better?
1,THE KID,1,A little bit.
2,MOTHER,2,Guess what.
3,THE KID,3,What?
4,MOTHER,4,Your grandfather's here.
5,THE KID,5,"Mom, can't you tell him that I'm
sick?"
6,MOTHER,6,"You are sick, that's why he's here."
7,THE KID,7,He'll pinch my cheek. I hate that.
8,MOTHER,8,Maybe he won't.
9,GRANDFATHER,9,Hey! How's the sickie? Heh?
10,MOTHER,10,I think I'll leave you two pals.
11,GRANDFATHER,11,I brought you a special present.
12,THE KID,12,What is it?
13,GRANDFATHER,13,Open it up.
14,THE KID,14,A book?
15,GRANDFATHER,15,"That's right. When I was your
age, television was called books.
And this is a special book. It
was the book my father used to
read to me when I was sick, and I
used to read it to your father.
And today, I'm gonna read it to
you."
16,THE KID,16,Has it got any sports in it?
17,GRANDFATHER,17,"Are you kidding? Fencing. Fighting.
Torture. Revenge. Giants. Monsters.
Chases. Escapes. True love.
Miracles."
18,THE KID,18,"It doesn't sound too bad. I'll
try and stay awake."
19,GRANDFATHER,19,"Oh. Well, thank you very much.
It's very nice of you. Your vote
of confidence is overwhelming.
All right."
20,GRANDFATHER,20,"The Princess Bride, by S.
Morgenstern. Chapter One.
Buttercup was raised on a small
farm in the country of Florin."
21,GRANDFATHER,21,"Her favorite pastimes were riding
her horse and tormenting the farm
boy that worked there. His name
was Westley, but she never called
him that."
22,GRANDFATHER,22,Isn't that a wonderful beginning?
23,THE KID,23,Yeah. It's really good.
24,GRANDFATHER,24,"Nothing gave Buttercup as much
pleasure as ordering Westley
around."
25,BUTTERCUP,25,"Farm boy. Polish my horse's
saddle. I want to see my face
shining in it by morning."
26,WESTLEY,26,As you wish.
27,GRANDFATHER,27,"""As you wish"" was all he ever
said to her."
28,BUTTERCUP,28,Farm Boy. Fill these with water --
29,BUTTERCUP,29,--please.
30,WESTLEY,30,As you wish.
31,GRANDFATHER,31,"That day, she was amazed to
discover that when he was saying,
""As you wish,"" what he meant was,
""I love you."""
32,GRANDFATHER,32,"And even more amazing was the day
she realized she truly loved him
back."
33,BUTTERCUP,33,"Farm Boy, fetch me that pitcher."
34,WESTLEY,34,As you wish.
35,THE KID,35,"-hold it, hold it-"
36,THE KID,36,"What is this? Are you trying to
trick me? -- Where's the sports? --
Is this a kissing book?"
37,GRANDFATHER,37,"-- wait, just wait --"
38,THE KID,38,"-- well, when does it get good?"
39,GRANDFATHER,39,Keep your shirt on. Let me read.
40,GRANDFATHER,40,"Westley had no money for marriage.
So he packed his few belongings
and left the farm to seek his
fortune across the sea."
41,GRANDFATHER,41,"It was a very emotional time for
Buttercup --"
42,THE KID,42,I don't be-leeve this.
43,BUTTERCUP,43,I fear I'll never see you again.
44,WESTLEY,44,Of course you will.
45,BUTTERCUP,45,"But what if something happens to
you?"
46,WESTLEY,46,Hear this now: I will come for you.
47,BUTTERCUP,47,But how can you be sure?
48,WESTLEY,48,"This is true love. You think this
happens every day?"
49,GRANDFATHER,49,"Westley didn't reach his
destination. His ship was attacked
by the Dread Pirate Roberts, who
never left captives alive. When
Buttercup got the news that
Westley was murdered --"
50,THE KID,50,-- murdered by pirates is good --
51,GRANDFATHER,51,"She went into her room and shut
the door. And for days, she
neither slept nor ate."
52,BUTTERCUP,52,I will never love again.
53,GRANDFATHER,53,"Five years later, the main square
of Florin City was filled as
never before to hear the
announcement of the great Prince
Humperdinck's bride-to be."
54,HUMPERDINCK,54,"My people ... a month from now,
our country will have its 500th
anniversary. On that sundown, I
shall marry a lady who was once a
commoner like yourselves --"
55,HUMPERDINCK,55,"-- but perhaps you will not find
her common now. Would you like to
meet her?"
56,HUMPERDINCK,56,"My people ... the Princess
Buttercup!!"
57,GRANDFATHER,57,"Buttercup's emptiness consumed
her. Although the law of the land
gave Humperdinck the right to
choose his bride, she did not
love him."
58,GRANDFATHER,58,"Despite Humperdinck's reassurance
that she would grow to love him,
the only joy she found was in her
daily ride."
59,VOICE,59,"A word, my lady?"
60,VIZZINI,60,"We are but poor, lost circus
performers. Is there a village
nearby?"
61,BUTTERCUP,61,"There is nothing nearby; not for
miles."
62,VIZZINI,62,"Then there will be no one to hear
you scream-"
63,INIGO,63,What is that you're ripping?
64,VIZZINI,64,"It's fabric from the uniform of
an Army officer of Guilder."
65,FEZZIK,65,Who's Guilder?
66,VIZZINI,66,"The country across the sea. The
sworn enemy of Florin."
67,VIZZINI,67,Go!
68,VIZZINI,68,"Once the horse reaches the
castle, the fabric will make the
Prince suspect the Guilderians
have abducted his love. When he
finds her body dead on the
Guilder frontier, his suspicions
will be totally confirmed."
69,FEZZIK,69,"You never said anything about
killing anyone."
