,character,line #,line
0,YOUNG MAN,0,"No, forget it, it's too risky. I'm
through doin' that shit."
1,YOUNG WOMAN,1,"You always say that, the same thing
every time: never again, I'm through,
too dangerous."
2,YOUNG MAN,2,"I know that's what I always say. I'm
always right too, but "
3,YOUNG WOMAN,3," but you forget about it in a day
or two -"
4,YOUNG MAN,4," yeah, well, the days of me
forgittin' are over, and the days of
me rememberin' have just begun."
5,YOUNG WOMAN,5,"When you go on like this, you know
what you sound like?"
6,YOUNG MAN,6,"I sound like a sensible fucking man,
is what I sound like."
7,YOUNG WOMAN,7,You sound like a duck.
8,YOUNG WOMAN,8,"Quack, quack, quack, quack, quack,
quack, quack..."
9,YOUNG MAN,9,"Well take heart, 'cause you're never
gonna hafta hear it again. Because
since I'm never gonna do it again,
you're never gonna hafta hear me
quack about how I'm never gonna do
it again."
10,YOUNG WOMAN,10,After tonight.
11,YOUNG MAN,11,Correct. I got all tonight to quack.
12,WAITRESS,12,Can I get anybody anymore coffee?
13,YOUNG WOMAN,13,"Oh yes, thank you."
14,YOUNG MAN,14,I'm doin' fine.
15,YOUNG MAN,15,"I mean the way it is now, you're
takin' the same fuckin' risk as when
you rob a bank. You take more of a
risk. Banks are easier!  Federal
banks aren't supposed to stop you
anyway, during a robbery. They're
insured, why should they care? You
don't even need a gun in a federal
bank. I heard about this guy, walked
into a federal bank with a portable
phone, handed the phone to the teller,
the guy on the other end of the phone
said: ""We got this guy's little girl,
and if you don't give him all your
money, we're gonna kill 'er."""
16,YOUNG WOMAN,16,Did it work?
17,YOUNG MAN,17,"Fuckin' A it worked, that's what I'm
talkin' about! Knucklehead walks in
a bank with a telephone, not a pistol,
not a shotgun, but a fuckin' phone,
cleans the place out, and they don't
lift a fuckin' finger."
18,YOUNG WOMAN,18,Did they hurt the little girl?
19,YOUNG MAN,19,"I don't know. There probably never
was a little girl  the point of the
story isn't the little girl. The
point of the story is they robbed
the bank with a telephone."
20,YOUNG WOMAN,20,You wanna rob banks?
21,YOUNG MAN,21,"I'm not sayin' I wanna rob banks,
I'm just illustrating that if we
did, it would be easier than what we
been doin'."
22,YOUNG WOMAN,22,So you don't want to be a bank robber?
23,YOUNG MAN,23,"Naw, all those guys are goin' down
the same road, either dead or servin'
twenty."
24,YOUNG WOMAN,24,And no more liquor stores?
25,YOUNG MAN,25,"What have we been talking about?
Yeah, no more-liquor-stores. Besides,
it ain't the giggle it usta be. Too
many foreigners own liquor stores.
Vietnamese, Koreans, they can't
fuckin' speak English. You tell 'em:
""Empty out the register,"" and they
don't know what it fuckin' means.
They make it too personal. We keep
on, one of those gook motherfuckers'
gonna make us kill 'em."
26,YOUNG WOMAN,26,I'm not gonna kill anybody.
27,YOUNG MAN,27,"I don't wanna kill anybody either.
But they'll probably put us in a
situation where it's us of them. And
if it's not the gooks, it these old
Jews who've owned the store for
fifteen fuckin' generations. Ya got
Grandpa Irving sittin' behind the
counter with a fuckin' Magnum. Try
walkin' into one of those stores
with nothin' but a telephone, see
how far it gets you. Fuck it, forget
it, we're out of it."
28,YOUNG WOMAN,28,"Well, what else is there, day jobs?"
29,YOUNG MAN,29,Not this life.
30,YOUNG WOMAN,30,Well what then?
31,YOUNG MAN,31,Garcon! Coffee!
32,YOUNG MAN,32,This place.
33,WAITRESS,33,"""Garcon"" means boy."
34,YOUNG WOMAN,34,Here? It's a coffee shop.
35,YOUNG MAN,35,"What's wrong with that? People never
rob restaurants, why not? Bars, liquor
stores, gas stations, you get your
head blown off stickin' up one of
them. Restaurants, on the other hand,
you catch with their pants down.
They're not expecting to get robbed,
or not as expecting."
36,YOUNG WOMAN,36,"I bet in places like this you could
cut down on the hero factor."
37,YOUNG MAN,37,"Correct. Just like banks, these places
are insured. The managers don't give
a fuck, they're just tryin' to get
ya out the door before you start
pluggin' diners.  Waitresses, forget
it, they ain't takin' a bullet for
the register. Busboys, some wetback
gettin' paid a dollar fifty a hour
gonna really give a fuck you're
stealin' from the owner. Customers
are sittin' there with food in their
mouths, they don't know what's goin'
on. One minute they're havin' a Denver
omelet, next minute somebody's
stickin' a gun in their face."
38,YOUNG MAN,38,"See, I got the idea last liquor store
we stuck up. 'Member all those
customers kept comin' in?"
39,YOUNG WOMAN,39,Yeah.
40,YOUNG MAN,40,"Then you got the idea to take
everybody's wallet."
41,YOUNG WOMAN,41,Uh-huh.
42,YOUNG MAN,42,That was a good idea.
43,YOUNG WOMAN,43,Thanks.
44,YOUNG MAN,44,"We made more from the wallets then
we did the register."
45,YOUNG WOMAN,45,Yes we did.
46,YOUNG MAN,46,A lot of people go to restaurants.
47,YOUNG WOMAN,47,A lot of wallets.
48,YOUNG MAN,48,"Pretty smart, huh?"
49,YOUNG WOMAN,49,Pretty smart.
50,YOUNG WOMAN,50,"I'm ready, let's go, right here,
right now."
51,YOUNG MAN,51,"Remember, same as before, you're
crowd control, I handle the employees."
52,YOUNG WOMAN,52,Got it.
53,YOUNG WOMAN,53,"I love you, Pumpkin."
54,YOUNG MAN,54,"I love you, Honey Bunny."
55,PUMPKIN,55,Everybody be cool this is a robbery!
56,HONEY BUNNY,56,"Any of you fuckin' pricks move and
I'll execute every one of you
motherfuckers!  Got that?"
57,JULES,57," Okay now, tell me about the hash
bars?"
58,VINCENT,58,What so you want to know?
59,JULES,59,"Well, hash is legal there, right?"
60,VINCENT,60,"Yeah, it's legal, but is ain't a
hundred percent legal. I mean you
can't walk into a restaurant, roll a
joint, and start puffin' away. You're
only supposed to smoke in your home
or certain designated places."
61,JULES,61,Those are hash bars?
62,VINCENT,62,"Yeah, it breaks down like this: it's
legal to buy it, it's legal to own
it and, if you're the proprietor of
a hash bar, it's legal to sell it.
It's legal to carry it, which doesn't
really matter 'cause  get a load of
this  if the cops stop you, it's
illegal for this to search you.
Searching you is a right that the
cops in Amsterdam don't have."
63,JULES,63,"That did it, man  I'm fuckin' goin',
that's all there is to it."
64,VINCENT,64,"You'll dig it the most. But you know
what the funniest thing about Europe
is?"
65,JULES,65,What?
66,VINCENT,66,"It's the little differences. A lotta
the same shit we got here, they got
there, but there they're a little
different."
67,JULES,67,Examples?
68,VINCENT,68,"Well, in Amsterdam, you can buy beer
in a movie theatre. And I don't mean
in a paper cup either. They give you
a glass of beer, like in a bar. In
Paris, you can buy beer at
MacDonald's. Also, you know what
they call a Quarter Pounder with
Cheese in Paris?"
69,JULES,69,"They don't call it a Quarter Pounder
with Cheese?"
70,VINCENT,70,"No, they got the metric system there,
they wouldn't know what the fuck a
Quarter Pounder is."
71,JULES,71,What'd they call it?
72,VINCENT,72,Royale with Cheese.
73,JULES,73,"Royale with Cheese. What'd they call
a Big Mac?"
74,VINCENT,74,"Big Mac's a Big Mac, but they call
it Le Big Mac."
75,JULES,75,"Le Big Mac. What do they call a
Whopper?"
76,VINCENT,76,"I dunno, I didn't go into a Burger
King.  But you know what they put on
french fries in Holland instead of
ketchup?"
77,JULES,77,What?
78,VINCENT,78,Mayonnaise.
79,JULES,79,Goddamn!
80,VINCENT,80,"I seen 'em do it. And I don't mean a
little bit on the side of the plate,
they fuckin' drown 'em in it."
81,JULES,81,Uuccch!
82,JULES,82,"We should have shotguns for this
kind of deal."
83,VINCENT,83,How many up there?
84,JULES,84,Three or four.
85,VINCENT,85,Counting our guy?
86,JULES,86,I'm not sure.
87,VINCENT,87,So there could be five guys up there?
88,JULES,88,It's possible.
89,VINCENT,89,We should have fuckin' shotguns.
90,VINCENT,90,What's her name?
91,JULES,91,Mia.
92,VINCENT,92,How did Marsellus and her meet?
93,JULES,93,"I dunno, however people meet people.
She usta be an actress."
94,VINCENT,94,She ever do anything I woulda saw?
95,JULES,95,"I think her biggest deal was she
starred in a pilot."
96,VINCENT,96,What's a pilot?
97,JULES,97,"Well, you know the shows on TV?"
98,VINCENT,98,I don't watch TV.
99,JULES,99,"Yes, but you're aware that there's
an invention called television, and
on that invention they show shows?"
100,VINCENT,100,Yeah.
101,JULES,101,"Well, the way they pick the shows on
TV is they make one show, and that
show's called a pilot. And they show
that one show to the people who pick
the shows, and on the strength of
that one show, they decide if they
want to make more shows. Some get
accepted and become TV programs, and
some don't, and become nothing. She
starred in one of the ones that became
nothing."
102,JULES,102,"You remember Antwan Rockamora? Half-
black, half-Samoan, usta call him
Tony Rocky Horror."
103,VINCENT,103,"Yeah maybe, fat right?"
104,JULES,104,"I wouldn't go so far as to call the
brother fat. He's got a weight
problem.  What's the nigger gonna
do, he's Samoan."
105,VINCENT,105,"I think I know who you mean, what
about him?"
106,JULES,106,"Well, Marsellus fucked his ass up
good.  And word around the campfire,
it was on account of Marsellus
Wallace's wife."
107,VINCENT,107,"What'd he do, fuck her?"
108,JULES,108,"No no no no no no no, nothin' that
bad."
109,VINCENT,109,Well what then?
110,JULES,110,He gave her a foot massage.
111,VINCENT,111,A foot massage?
112,VINCENT,112,That's all?
113,VINCENT,113,What did Marsellus do?
114,JULES,114,"Sent a couple of guys over to his
place.  They took him out on the
patio of his apartment, threw his
ass over the balcony.  Nigger fell
four stories. They had this garden
at the bottom, enclosed in glass,
like one of them greenhouses  nigger
fell through that. Since then, he's
kinda developed a speech impediment."
115,VINCENT,115,That's a damn shame.
116,VINCENT,116,"Still I hafta say, play with matches,
ya get burned."
117,JULES,117,Whaddya mean?
118,VINCENT,118,"You don't be givin' Marsellus
Wallace's new bride a foot massage."
119,JULES,119,You don't think he overreacted?
120,VINCENT,120,"Antwan probably didn't expect
Marsellus to react like he did, but
he had to expect a reaction."
121,JULES,121,"It was a foot massage, a foot massage
is nothing, I give my mother a foot
massage."
122,VINCENT,122,"It's laying hands on Marsellus
Wallace's new wife in a familiar
way. Is it as bad as eatin' her out
 no, but you're in the same fuckin'
ballpark."
123,JULES,123,"Whoa... whoa... whoa... stop right
there.  Eatin' a bitch out, and givin'
a bitch a foot massage ain't even
the same fuckin' thing."
124,VINCENT,124,"Not the same thing, the same ballpark."
125,JULES,125,"It ain't no ballpark either. Look
maybe your method of massage differs
from mine, but touchin' his lady's
feet, and stickin' your tongue in
her holyiest of holyies, ain't the
same ballpark, ain't the same league,
ain't even the same fuckin' sport.
Foot massages don't mean shit."
126,VINCENT,126,Have you ever given a foot massage?
127,JULES,127,"Don't be tellin' me about foot
massages  I'm the foot fuckin'
master."
128,VINCENT,128,Given a lot of 'em?
129,JULES,129,"Shit yeah. I got my technique down
man, I don't tickle or nothin'."
130,VINCENT,130,"Have you ever given a guy a foot
massage?"
131,JULES,131,Fuck you.
132,VINCENT,132,How many?
133,JULES,133,Fuck you.
134,VINCENT,134,"Would you give me a foot massage 
I'm kinda tired."
135,JULES,135,"Man, you best back off, I'm gittin'
pissed  this is the door."
136,JULES,136,What time is it?
137,VINCENT,137,Seven-twenty-two in the morning.
138,JULES,138,"It ain't quite time, let's hang back."
139,JULES,139,"Look, just because I wouldn't give
no man a foot massage, don't make it
right for Marsellus to throw Antwan
off a building into a glass-
motherfuckin-house, fuckin' up the
way the nigger talks. That ain't
right, man. Motherfucker do that to
me, he better paralyze my ass, 'cause
I'd kill'a motherfucker."
140,VINCENT,140,"I'm not sayin' he was right, but
you're sayin' a foot massage don't
mean nothing, and I'm sayin' it does.
I've given a million ladies a million
foot massages and they all meant
somethin'. We act like they don't,
but they do. That's what's so fuckin'
cool about 'em. This sensual thing's
goin' on that nobody's talkin about,
but you know it and she knows it,
fuckin' Marsellus knew it, and Antwan
shoulda known fuckin' better. That's
his fuckin' wife, man. He ain't gonna
have a sense of humor about that
shit."
141,JULES,141,"That's an interesting point, but
let's get into character."
142,VINCENT,142,What's her name again?
143,JULES,143,"Mia. Why you so interested in big
man's wife?"
144,VINCENT,144,"Well, Marsellus is leavin' for Florida
and when he's gone, he wants me to
take care of Mia."
145,JULES,145,Take care of her?
146,VINCENT,146,"Not that! Take her out. Show her a
good time. Don't let her get lonely."
147,JULES,147,"You're gonna be takin' Mia Wallace
out on a date?"
148,VINCENT,148,"It ain't a date. It's like when you
and your buddy's wife go to a movie
or somethin'. It's just... you know...
good company."
149,VINCENT,149,It's not a date.
150,JULES,150,Hey kids.
151,JULES,151,How you boys doin'?
152,JULES,152,"Am I trippin', or did I just ask you
a question."
153,BRETT,153,We're doin' okay.
154,JULES,154,Do you know who we are?
155,JULES,155,"We're associates of your business
partner Marsellus Wallace, you
remember your business partner
dont'ya?"
156,JULES,156,"Now I'm gonna take a wild guess here:
you're Brett, right?"
157,BRETT,157,I'm Brett.
158,JULES,158,"I thought so. Well, you remember
your business partner Marsellus
Wallace, dont'ya Brett?"
159,BRETT,159,I remember him.
160,JULES,160,"Good for you. Looks like me and
Vincent caught you at breakfast,
sorry 'bout that.  What'cha eatin'?"
161,BRETT,161,Hamburgers.
162,JULES,162,"Hamburgers. The cornerstone of any
nutritious breakfast. What kinda
hamburgers?"
163,BRETT,163,Cheeseburgers.
164,JULES,164,"No, I mean where did you get'em?
MacDonald's, Wendy's, Jack-in-the-
Box, where?"
165,BRETT,165,Big Kahuna Burger.
166,JULES,166,"Big Kahuna Burger. That's that
Hawaiian burger joint. I heard they
got some tasty burgers. I ain't never
had one myself, how are they?"
167,BRETT,167,They're good.
168,JULES,168,Mind if I try one of yours?
169,BRETT,169,No.
170,JULES,170,"Yours is this one, right?"
171,BRETT,171,Yeah.
172,JULES,172,"Uuummmm, that's a tasty burger."
173,JULES,173,"Vince, you ever try a Big Kahuna
Burger?"
174,VINCENT,174,No.
175,JULES,175,"You wanna bite, they're real good."
176,VINCENT,176,I ain't hungry.
177,JULES,177,"Well, if you like hamburgers give
'em a try sometime. Me, I can't
usually eat 'em 'cause my girlfriend's
a vegetarian. Which more or less
makes me a vegetarian, but I sure
love the taste of a good burger."
178,JULES,178,"You know what they call a Quarter
Pounder with Cheese in France?"
179,BRETT,179,No.
180,JULES,180,"Tell 'em, Vincent."
181,VINCENT,181,Royale with Cheese.
182,JULES,182,"Royale with Cheese, you know why
they call it that?"
183,BRETT,183,Because of the metric system?
184,JULES,184,"Check out the big brain on Brett.
You'a smart motherfucker, that's
right. The metric system."
185,JULES,185,What's in this?
186,BRETT,186,Sprite.
187,JULES,187,"Sprite, good, mind if I have some of
your tasty beverage to wash this
down with?"
188,BRETT,188,Sure.
189,JULES,189,"Uuuuummmm, hit's the spot!"
190,JULES,190,"You, Flock of Seagulls, you know
what we're here for?"
191,JULES,191,"Then why don't you tell my boy here
Vince, where you got the shit hid."
192,MARVIN,192,It's under the be 
193,JULES,193," I don't remember askin' you a
goddamn thing."
194,JULES,194,You were sayin'?
195,ROGER,195,It's under the bed.
196,VINCENT,196,Got it.
197,JULES,197,We happy?
198,JULES,198,Vincent!
199,JULES,199,We happy?
200,VINCENT,200,We're happy.
201,BRETT,201,"Look, what's your name? I got his
name's Vincent, but what's yours?"
202,JULES,202,"My name's Pitt, and you ain't talkin'
your ass outta this shit."
203,BRETT,203,"I just want you to know how sorry we
are about how fucked up things got
between us and Mr. Wallace. When we
entered into this thing, we only had
the best intentions "
204,JULES,204,"Oh, I'm sorry. Did that break your
concentration? I didn't mean to do
that.  Please, continue. I believe
you were saying something about ""best
intentions."""
205,JULES,205,"Whatsamatter? Oh, you were through
anyway.  Well, let me retort. Would
you describe for me what Marsellus
Wallace looks like?"
206,JULES,206,What country you from!
207,BRETT,207,What?
208,JULES,208,"""What"" ain't no country I know! Do
they speak English in ""What?"""
209,BRETT,209,What?
210,JULES,210,"English-motherfucker-can-you-speak-
it?"
211,BRETT,211,Yes.
212,JULES,212,Then you understand what I'm sayin'?
213,BRETT,213,Yes.
214,JULES,214,"Now describe what Marsellus Wallace
looks like!"
215,BRETT,215,What?
216,JULES,216,"Say ""What"" again! C'mon, say ""What""
again!  I dare ya, I double dare ya
motherfucker, say ""What"" one more
goddamn time!"
217,JULES,217,"Now describe to me what Marsellus
Wallace looks like!"
218,BRETT,218,Well he's... he's... black 
219,JULES,219, go on!
220,BRETT,220,...and he's... he's... bald 
221,JULES,221, does he look like a bitch?!
222,BRETT,222,What?
223,JULES,223,Does-he-look-like-a-bitch?!
224,BRETT,224,No.
225,JULES,225,"Then why did you try to fuck 'im
like a bitch?!"
226,BRETT,226,I didn't.
227,JULES,227,"Yes ya did Brett. Ya tried ta fuck
'im.  You ever read the Bible, Brett?"
228,BRETT,228,Yes.
229,JULES,229,"There's a passage I got memorized,
seems appropriate for this situation:
Ezekiel 25:17. ""The path of the
righteous man is beset on all sides
by the inequities of the selfish and
the tyranny of evil men.  Blessed is
he who, in the name of charity and
good will, shepherds the weak through
the valley of darkness, for he is
truly his brother's keeper and the
finder of lost children. And I will
strike down upon thee with great
vengeance and furious anger those
who attempt to poison and destroy my
brothers. And you will know my name
is the Lord when I lay my vengeance
upon you."""
230,MARSELLUS (O.S.),230,"I think you're gonna find  when all
this shit is over and done  I think
you're gonna find yourself one smilin'
motherfucker. Thing is Butch, right
now you got ability. But painful as
it may be, ability don't last. Now
that's a hard motherfuckin' fact of
life, but it's a fact of life your
ass is gonna hafta git realistic
about. This business is filled to
the brim with unrealistic
motherfuckers who thought their ass
aged like wine.  Besides, even if
you went all the way, what would you
be? Feather-weight champion of the
world. Who gives a shit? I doubt you
can even get a credit card based on
that."
231,MARSELLUS (O.S.),231,"Now the night of the fight, you may
fell a slight sting, that's pride
fuckin' wit ya.  Fuck pride! Pride
only hurts, it never helps. Fight
through that shit. 'Cause a year
from now, when you're kickin' it in
the Caribbean you're gonna say,
""Marsellus Wallace was right."""
232,BUTCH,232,I got no problem with that.
233,MARSELLUS (O.S.),233,"In the fifth, your ass goes down."
234,MARSELLUS (O.S.),234,Say it!
235,BUTCH,235,"In the fifth, my ass goes down."
236,ENGLISH DAVE,236,"Vincent Vega, our man in Amsterdam,
git your ass on in here."
237,VINCENT,237,Where's the big man?
238,ENGLISH DAVE,238,"He's over there, finishing up some
business."
239,ENGLISH DAVE (O.S.),239,"Hang back for a second or two, and
when you see the white boy leave, go
on over.  In the meanwhile, can I
make you an espresso?"
240,VINCENT,240,"How 'bout a cup of just plain lo'
American?"
241,ENGLISH DAVE,241,"Comin' up. I hear you're taking Mia
out tomorrow?"
242,VINCENT,242,At Marsellus' request.
243,ENGLISH DAVE,243,Have you met Mia?
244,VINCENT,244,Not yet.
245,VINCENT,245,What's so funny?
