,character,line #,line
0,BARRANCA,0,They're talking about the Curse again!
1,INDY,1,No.
2,INDY,2,We don't need them.
3,BARRANCA,3,I do not carry supplies.
4,INDY,4,"We'll leave them. Once we've got it,
we'll be able to reach the plane by
dusk."
5,SATIPO,5,"The Hovitos are near. The poison is
still fresh... three days. They're
following us, I tell you."
6,INDY,6,"If they knew we were here, they would
have killed us already."
7,INDY,7,"So this is where Forrestal cashed
in."
8,SATIPO,8,A friend of yours?
9,INDY,9,"Competitor. He was good, very good."
10,BARRANCA,10,"No one has ever come out of there
alive. Why should we put our faith
in you?"
11,INDY,11,"No one ever had what we have...
partners."
12,INDY,12,"Assuming that pillar there marks the
corner and..."
13,SATIPO,13,I knew nothing! He was crazy! Please!
14,INDY,14,Let's go.
15,SATIPO,15,What's wrong? Are you lost?
16,INDY,16,Forrestal.
17,SATIPO,17,We can go no further.
18,INDY,18,"Now, Satipo, we don't want to be
discouraged by every little thing."
19,INDY,19,Let me see that.
20,INDY,20,Try not to touch the vines.
21,SATIPO,21,"Señor, I think we are very close."
22,SATIPO,22,"Let us hurry. There is nothing to
fear here."
23,INDY,23,That's what scares me.
24,SATIPO,24,"There's plenty of light, amigo."
25,SATIPO,25,From that hole!
26,INDY,26,You wait here.
27,SATIPO,27,"If you insist, señor."
28,SATIPO,28,"No time to argue. Throw me the idol,
I throw you the whip."
29,SATIPO,29,You have no choice! Hurry!
30,SATIPO,30,"Adios, amigo!"
31,INDY,31,Adios.
32,BELLOQ,32,"Dr. Jones, you choose the wrong
friends. This time it will cost you."
33,BELLOQ,33,And you thought I'd given up.
34,INDY,34,"Too bad they don't know you like I
do, Belloq."
35,BELLOQ,35,"Yes, too bad. You could warn them...
if only you spoke Hovitos."
36,BELLOQ,36,Kill him!
37,INDY,37,Get it going! Get it going!
38,INDY,38,GO!
39,JOCK,39,"Don't mind him. That's Reggie.
Wouldn't hurt a soul."
40,INDY,40,I can't stand snakes.
41,JOCK,41,"The world's full of them, you know."
42,INDY,42,I hate them.
43,JOCK,43,"Come on now, Sport, show a little of
the old backbone."
44,BRODY,44,"Do you think the idol will ever show
up?"
