,character,line #,line
0,DEAGOL,0,"Smeagol, I've got one!"
1,DEAGOL,1,"I've got a fish, Smeagol!"
2,SMEAGOL,2,"Go on, pull it in."
3,SMEAGOL (cont'd),3,Deagol!
4,SMEAGOL,4,"Give us that, Deagol, my love!"
5,DEAGOL,5,Why?
6,SMEAGOL,6,"Because its my birthday, and I wants it."
7,SMEAGOL (cont'd),7,My precious!
8,SMEAGOL V/0,8,"They cursed us. Murderer. Murderer they
called us. They cursed us and drove us
away."
9,SMEAGOL V/0 (cont'd),9,"And we wept, Precious, we wept to be so
alone. And we forgot the taste of bread,
the sound of trees, the softness of the
wind . . . We even forgot our own name."
10,SMEAGOL V/0 (cont'd),10,Gollum! Gollum!
11,GOLLUM,11,It's mine! My own. It came to me.
12,SMEAGOL,12,My Precious.
13,GOLLUM,13,"Wake up! Wake up! Wake up, sleepies! We
must go, yes, we must go at once!"
14,SAM,14,"Haven't you had any sleep, Mr Frodo?"
15,SAM (cont'd),15,I've gone and had too much!
16,SAM (cont'd),16,It must be getting late.
17,FRODO,17,"No . . . no it isn't. It isn't midday yet.
The days are growing darker."
18,GOLLUM,18,"Come on, must go, no time ..."
19,SAM,19,Not before Mr Frodo's had something to eat.
20,GOLLUM,20,". . . no time to lose, silly."
21,SAM,21,Here.
22,FRODO,22,What about you?
23,SAM,23,"I'm not hungry - leastways, not for lembas
bread."
24,FRODO,24,Sam.
25,SAM,25,Alright. We don't have that much left.
26,SAM (cont'd),26,"We have to be careful or we're going to run
out. You go ahead and eat that, Mr Frodo.
I've rationed it. There should be enough."
27,FRODO,27,For what?
28,SAM,28,The journey home.
29,GOLLUM,29,"Come, Hobbitses. Very close now. Very close
to Mordor! No safe places here. Hurry!
Shhh."
30,PIPPIN,30,"I feel like I ' m back at the Green Dragon,
after a hard days work."
31,MERRY,31,"Only, you've never done a hard days work."
32,MERRY (cont'd),32,"Welcome, my Lords, to Isengard."
33,GIMLI,33,"You young rascals! A merry hunt you've led
us on, and now we find you feasting and
smoking."
34,PIPPIN,34,"We are sitting on a field of victory,
enjoying a few well-earned comforts.
The salted pork is particularly good."
35,GIMLI,35,Salted pork?
36,GANDALF,36,Hobbits!
37,MERRY,37,"We're under orders from Treebeard, who's
taken over management of Isengard."
38,TREEBEARD,38,"Huraroom ... Young Master Gandalf, I'm glad
you've come. Wood and water, stock and ,
stone I can master, but there's a wizard to
be managed here ... Locked in his tower."
39,GANDALF,39,"And there Saruman must remain, under your
guard, Treebeard."
40,GIMLI,40,"Let's just have his head and be done with
it.                            ."
41,GANDALF,41,No. He has no power any more.
42,TREEBEARD,42,"The filth of Saruman is washing away ...
Trees will come back to live here, young
trees . . . wild trees."
43,TREEBEARD,43,Well bless my bark!
44,GANDALF,44,"Peregrin Took! I'll take that, my lad!"
45,GANDALF (cont'd),45,"Quickly, now!"
46,THEODEN,46,"Tonight we remember those who gave their
blood to defend this country. Hail the
victorious dead!"
47,EOWYN,47,Westu Aragorn hal.
48,THEODEN,48,I am happy for you.
49,THEODEN (cont'd),49,He is an honourable man.
50,EOWYN,50,You are both honourable men.
51,THEODEN,51,"It was not Theoden of Rohan who led our
people to victory."
52,T HE ODE N ( co nt' d),52,"Don't listen to me - you are young, and
tonight is for you."
53,MERRY & PIPPIN,53,"Oh, you can search - up and down
As many lands as can be found
But you'll never find a beer so brown
As the one we drink in our home town
You can keep your fancy ales
You can drink them by the flagon
But the only brew, for the brave and true,
Comes from the Green Dragon!"
54,ARAGORN,54,No news of Frodo?
55,GANDALF,55,No word ... nothing.
56,ARAGORN,56,We till have time.
57,ARAGORN (cont'd),57,Every day Frpdo moves closer to Mordor.
58,GANDALF,58,Do we know that?
59,ARAGORN,59,What does your heart tell you?
60,GANDALF,60,That Frodo is alive.
61,GANDALF,61,"Yes - yes, he is alive."
62,SMEAGOL,62,"Too risky, too risky. The thieves! They
stole it from us. Kill them . . . kill them
... kill them both!"
63,SME AGO L (c ont' d),63,No!
64,GOLLUM,64,Shhh! Quiet!
65,GOLLUM (cont'd),65,"Mustn't wake them, mustn't ruin it now!"
66,SMEAGOL,66,"They knows, they knows, they suspects us."
