,character,line #,line
0,BLACK FIGHTER,0,"... I'm gonna bust his head
wide open!"
1,CORNERMAN,1,"... Ya waltzin' -- Give the
suckers some action."
2,ROCKY,2,Hey --
3,CORNERMAN,3,"Ya movin' like a bum -- Want
some advice --"
4,ROCKY,4,... Just gimme the water.
5,FAN,5,"Should I bet the fight don't
go the distance -- Ya feel
strong?"
6,ROCKY,6,Absolutely.
7,CORNERMAN,7,... Ya want some good advice?
8,ROCKY,8,... I just want the mouthpiece.
9,ANNOUNCER,9,"Winner, Rocky Balboa -- Next a
six rounder between local
lightweights."
10,FIGHTER #1,10,"... Tomorrow me an' my woman
are gonna tip on down to
Atlantic City, man."
11,FIGHTER #2,11,"... It's cold, Bro'."
12,FIGHTER #1,12,"... That's right, I got the
city to myself..."
13,PROMOTER,13,...Balboa!?
14,PROMOTER,14,"... Twenty bucks for the
locker an' cornerman -- Two
bucks for the towel an'
shower, seven for tax -- The
house owes ya, sixty-one
dollars."
15,ROCKY,15,I'm a fighter.
16,WOMAN,16,... Yo' iz an accident.
17,ROCKY,17,...Look who's home.
18,MAFIA #1,18,"Yo, Rock -- How's your Boss?"
19,ROCKY,19,Real good.
20,MAFIA #2,20,Fightin' again?
21,ROCKY,21,"Yeah, here an' there."
22,MAFIA #1,22,"Mebbe we make sum money
togather soon... Give ya boss
my best."
23,FATS,23,"Don't hit the face!  Not the
face!!"
24,ROCKY,24,"Mr. Gazzo wants the two
hundred now!"
25,FATS,25,"Honest to God I'm broke --
Gimme a break."
26,ROCKY,26,"Mr. Gazzo says I should get
two hundred or break the thumb."
27,FATS,27,"Please, I need my hands to
work -- Christ, don't bust my
thumbs."
28,ROCKY,28,Goin' fishin'?
29,ROCKY,29,What's ya name again?
30,FATS,30,Bob.
31,ROCKY,31,"Look, Bob, if ya wanna dance,
ya gotta pay the band -- If ya
borrow, ya gotta pay the man...
Me, I ain't emotionally
involved."
32,ROCKY,32,A hundred an' thirty.
33,FATS,33,"That's it, I'm broke."
34,ROCKY,34,That's it? -- Completely?
35,FATS,35,That's it.
36,ROCKY,36,What about for food an' stuff?
37,FATS,37,You have my food in ya hand.
38,ROCKY,38,"... The juice is climbin'
every week."
39,FATS,39,"I know the juice is climbin' --
I been workin' six months just
to pay the damn interest."
40,ROCKY,40,Ya still light seventy.
41,FATS,41,"Waits! -- Be smart.  Ya don't
have to break nothin' -- Here,
take my coat, it's worth
fifty-sixty dollars.  It's
yours."
42,FATS,42,"See, ya a smart guy, Gazzo's
don't have to know nuthin'.
I'll go tape up the hand like
ya broke my thumb.  Gazzo
won't be wise to nothin' -- Be
a smart guy, keep the coat,
we'll fake like ya broke the
hand."
43,FATS,43,"No - no - no - Please -
Please - Please don't..."
44,ROCKY,44,...That's what coulda happened.
45,ADRIAN,45,"... Could you take the puppy
out --"
46,CUSTOMER,46,It can breathe.
47,ADRIAN,47,Please -
48,CUSTOMER,48,"Please, nothin' - I paid for
this dog and can do whatever I
want with it - I can throw it
through the window if I want -
Now give me my two dollars
back before I do throw it
through the window."
49,CUSTOMER,49,Get away from me - Give me that!
50,ROCKY,50,"... How's the turtle food this
week?"
