,character,line #,line
0,VOICE OVER,0,"Michael Rennie was ill.
The day the earth stood still
But he told us where we stand"
1,VOICE OVER (Cont),1,"And Flash Gordon was there
In silver underwear."
2,VOICE OVER (Cont),2,Claude Rains was the invisible man.
3,VOICE OVER (Cont),3,"Then something went wrong
For Fay Wray and King Kong
They got caught in a celluloid jam"
4,VOICE OVER (Cont),4,"Then at a deadly pace
It came from outer space
And this is how the message ran"
5,CHORUS,5,"Science Fiction - double-feature
Dr X will build a creature
See Androids fighting Brad and Janet
Anne Francis stars in Forbidden Planet
Oh - at the late night, double-feature
Picture Show."
6,VOICE OVER,6,"I knew Leo G. Carrol
Was over a barrel
When tarantula took to the hills"
7,VOICE OVER (Cont),7,"And I really got hot
When I saw Jeanette Scott
Fight a Triffid that spits poison and kills"
8,VOICE OVER (Cont),8,"Dana Andrews said prunes
Gave him the runes
And passing them used lots of skills."
9,VOICE OVER (Cont),9,"And when worlds collide
Said George Pal to his bride
I'm going to give you some terrible trills
Like a -"
10,CHORUS,10,"Science Fiction - double-feature
Dr X will build a creature
See Androids fighting Brad and Janet
Anne Francis stars in Forbidden Planet
Oh - at the late-night, double-feature
Picture Show
By RKO O- Oh
At the late-night, double-feature
Picture Show
In the back row
At the late-night, double-feature
Picture Show
I want to go."
11,CHORUS (Cont),11,"To the late night double feature
Picture Show."
12,RALPH,12,"Well Brad, I guess we made it huh!"
13,BRAD,13,"Well I don't think there was any doubt
about that - You and Betty have been
almost inseparable ever since you sat
in on Dr Scott's refresher lectures."
14,RALPH,14,"Tell you the truth Brad, she was the
only reason I came in the first place.
Science was never one of my favourite
subjects but I sure with Dr Scott
could have made it today."
15,BRAD,15,"Yes, Janet and I are both fond of him.
We drove over to see him last vacation.
It's a shame his new job took him away
from Denton."
16,RALPH,16,"Hey fella.  It looks like it could be
your turn next."
17,BRAD,17,Who knows...ha ha.
18,JANET (who is holding the bouquet),18,"Oh Brad, wasn't it wonderful. Didn't
Betty look radiantly beautiful.
Just an hour ago she was plain old
Betty Monroe.  Now she's Mrs.
Ralph Hapschatt."
19,BRAD (Still looking after the car),19,"Er...yes, Janet.......Ralph's a
lucky guy.  (They start to move d.s.)"
20,JANET,20,Yes.
21,BRAD,21,"Everyone knows Betty's a wonderful
little cook."
22,JANET,22,Yes.
23,BRAD,23,"And Ralph himself will be in line for
promotion in a year or so."
24,JANET,24,Yes.
25,BRAD (spoken),25,Hey Janet.
26,JANET,26,Yes Brad.
27,BRAD,27,I've got something to say.
28,JANET,28,Uh huh.
29,BRAD,29,"I really loved the skilful way
You beat the other girls
To the bride's bouquet."
30,JANET,30,Oh Brad.
31,BRAD,31,The river was deep but I swam it.
32,FAMILY (Riff & Magenta),32,Janet.
33,BRAD,33,The future is ours so let's plan it.
34,FAMILY (R & M),34,Janet.
35,BRAD,35,So please don't tell me to can it.
36,FAMILY (R & M),36,Janet.
37,BRAD,37,"I've one thing to say and that's
Dammit, Janet.
I love you.
The road was long but I ran it.
(He runs backwards towards church doors)"
38,FAMILY (Riff and Magenta),38,Janet.
39,BRAD (Climbing onto fence),39,"There's a fire in my heart
And you fan it.  (Jumps off)"
40,FAMILY (Riff and Magenta),40,Janet.
41,BRAD,41,"If there's one fool for you
Then I am it."
42,FAMILY (Riff and Magenta),42,Janet.
43,BRAD (Getting chalk from pocket),43,"I've one thing to say and that's,
Dammit, Janet."
44,BRAD,44,I love you.
45,BRAD,45,"Here's a ring to prove that
I'm not joker."
46,BRAD,46,"There's three ways that love can grow.
That's good bad or mediocre."
47,BRAD,47,"Oh - J - A - N - E - T
I love you so."
48,JANET,48,"Oh!......It's nicer than
Betty Munroe had"
49,MAGENTA (Peering up from behind pew),49,Oh Brad.
50,JANET,50,Now we're engaged and I'm so glad.
51,MAGENTA & COLUMBIA,51,Oh Brad.  (Both peer up and disappear)
52,JANET,52,"That you met Mom
And you know Dad."
53,WHOLE FAMILY,53,Oh Brad.  (peering up together)
54,JANET (Taking his arm),54,"I've one thing to say
And that's, Brad
I'm mad,
For you too."
55,JANET (Laying head on Brad's sh.),55,"Oh, Brad."
56,BRAD,56,Oh Dammit.
57,JANET (Caresses his cheek),57,I'm mad.....
58,BRAD,58,Oh Janet
59,JANET,59,For you.
60,BRAD (briefly kisses her),60,I love you too-oo-oo.
61,BRAD & JANET,61,There's one thing left to do-ah-ooh
62,BRAD,62,"And that's go see the man
Who began it"
63,FAMILY (Carrying coffin),63,Janet.
64,BRAD,64,"When we met in his science exam
It -"
65,FAMILY,65,Janet.
66,BRAD,66,"Made me give you the eye
And then panic,"
67,FAMILY,67,Janet
68,BRAD,68,"I've got one thing to say, and that's
Dammit,
Janet.
I love you."
69,BRAD (Circling Janet),69,"Dammit, Janet."
70,JANET,70,"Oh Brad,
I'm mad."
71,BRAD,71,"Dammit, Janet."
72,"BRAD, JANET, FAMILY.",72,I love you.
73,NARRATOR,73,"I would like if I may to take you on a
strange journey."
74,NARRATOR,74,"It seemed a fairly ordinary night when
Brad Majors and his fiancee Janet Weiss
(two young ordinary healthy kids) left
Denton that late November evening to
visit Dr Everett Scott, ex. tutor and
now friend of both of them.  It's true
there were dark storm clouds, heavy,
black and pendulous, toward which they
were driving.  It's true also that the
spare tyre they were carrying was badly
in need of some air.  But they being
normal kids and on a night out, well
they were not going to let a storm
spoil the events of their evening.
On a night out."
75,NARRATOR,75,"It was a night out they were going to
remember for a very long time."
76,JANET,76,"Gosh.  That's the third motorcyclist
that's passed us.  They certainly take
their lives in their hands.  What with
the weather and all."
77,BRAD,77,"Yes, Janet.  Life's pretty cheap to
that type."
78,JANET,78,"What's the matter Brad, darling?"
79,BRAD,79,"I think we took the wrong fork a few
miles back."
80,JANET,80,"Oh dear!  But then where did the
motorcyclists come from?"
81,BRAD,81,"Hmmm ... Well, I guess we will have
to turn back."
82,JANET,82,What was that bang?
83,BRAD,83,We must have a blow-out.
84,JANET,84,Oh...
85,BRAD,85,"You'd better sit here and keep warm
while I go for help."
86,JANET,86,"But where will you go?  We're in the
middle of nowhere."
87,BRAD,87,"Didn't we pass a castle back down the
road a few miles?  Maybe they have
a telephone I might use."
88,JANET,88,I'm coming with you.
89,BRAD,89,There's no point both of us getting wet.
90,JANET,90,I'm coming with you.
91,JANET,91,"Besides, darling, the owner of the phone
might be a beautiful woman and you may
never come back."
92,JANET,92,"In the velvet darkness
Of the blackest night
Burning bright."
93,JANET,93,"There's a guiding star
No matter what or who you are."
94,BRAD & JANET,94,There's a light
95,PHANTOM VOICES,95,Over at the Frankenstein place.
96,BRAD,96,There's a light.
97,PHANTOM VOICES,97,Burning in the fireplace.
98,JANET,98,"There's a light, a light
In the darkness of everybody's life"
99,BRAD,99,"I can see the flag fly
I can see the rain
Just the same
There has got to be
Something better here
For you and me."
100,BRAD & JANET,100,There's a light.
101,PHANTOM VOICES,101,Burning in the fireplace.
102,BRAD,102,There's a light.
103,BRAD,103,"A light
In the darkness of everybody's life."
104,RIFF RAFF,104,"The darkness must go
Down the river of nights dreaming
Flow morphia slow
Let the sun and light come streaming
Into my life."
105,RIFF RAFF,105,Into my life.
106,BRAD & JANET,106,There's a light.
107,PHANTOM VOICES,107,Over at the Frankenstein place.
108,BRAD & JANET,108,There's a light.
109,PHANTOM VOICES,109,Burning in the fireplace.
110,PHANTOM VOICES,110,"There's a light, a light."
111,BRAD & JANET,111,In the darkness of everybody's life.
112,NARRATOR,112,"And so it seemed that fortune had smiled
on Brad and Janet and that they had found
the assistance that their plight required -
or had they?"
113,JANET,113,"Oh, Brad.  Let's go back.  I'm cold
and I'm frightened."
114,BRAD,114,"Just a moment, Janet.  They may have
a telephone."
115,RIFF RAFF,115,Hello.
