,character,line #,line
0,VOICE #1 (0.8.),0,Okay    so    what    do    you call yourself?
1,VOICE #2 (0.6.),1,Corn0 se llama?
2,MONTANA,2,Tony Montana...you?
3,MONTANA,3,"Where'd      you     learn to speak       the     English,
Tony?"
4,MONTANA,4,"My old man -- he was American.
I always know, y'know, one day I
Bum."
5,MONTANA,5,"gonna come to America.
movies...."
6,VOICE #l,6,So where's your old man now?
7,MONTANA,7,He's    dead.        He    died.  Somewhere....
8,VOICE #1,8,Mother?
9,TONY,9,She's     dead     too.
10,VOICE #2,10,"What kind       of    work you do in         Cuba,
Tony?"
11,TONY,11,"This.   That. The Army.                   Some    con-
struction work...."
12,VOICE #2,12,"Unhunh.  Got any family in the                       States,
Tony? Cousins, brother-in-law?"
13,TONY,13,"Nobody.   Everybody's            dead.
NO."
14,MAN #I,14,"Y'ever      been     in     jail, Tony?"
15,TONY,15,Me    jail?     No    way.
16,TONY,16,"You       been in a mental hospital,                Tony?"
17,TONY,17,"Yeah,      in the boat coming             over."
18,MAN #1,18,"How 'bout homosexuality,                  Tony? You.
like men, y'like to dress                  up like a
woman?"
19,TONY,19,"Never tried it. What the                                                      (X)
fuck's wrong
with this guy, what's he                  think I am?"
20,MAN #2,20,"Just       answer     the    questions,     Tony."
21,TONY,21,Fuck      no.
22,MAN #1,22,Arrested?           Vagrancy? Marijuana?
23,TONY,23,".             Never.       Nothing.
NO        ..NO."
24,TONY,24,So       where'd    you     get the     beauty     scar?
25,TONY     ?',25,This?..
26,TONY     ?',26,"I was a kid. You should                     see   the
other kid."
27,MAN #3,27,And      this?
28,TONY,28,Oh       that     was   for    my sweetheart.
29,MAN #3,29,Sweetheart?
30,MAN #3,30,"We been seeing more and more of these.
It's some kinda    code these guys used
in the can. Pitchfork means an assassin
or something. This one's new...You
want to tell us, Montana or you want to
take a little trip to the detention
center?"
31,TONY,31,"Hey, so I was in the can once for
buying dollars. Big deal."
32,MAN.#3,32,"That's    pretty    funny, Tony."
33,TONY,33,Some     Canadian   tourist....
34,MAN #3,34,"What'd     you mug him first?      Get   him
outta     here!"
35,TONY,35,"so I fuck Castro, what's it to
Hey,
you? You a Communist or something?
How would you like it they tell you
all the time what to think, what to
do, you wanna be like a sheep, like
everybody else. Baa baa? Puta!      You
want a stoolie on every block? You
wanna work eight hours a day and you
never own nothing? I ate octopus three
times a day, fucking octopus is coming
out my ears, fuckin' Russian shoes are
eating through my feet. Whaddaya want?
You want me to stay there? Hey, I'm
no little whore, I'm no stinking thief!
I'm Tony Montana and I'm a political
prisoner here from Cuba and I want my
fucking 'Human Rights' just like
President Jimmy Carter says, okay?..."
36,TONY,36,There's a certain eloquence to the man`s plea              but
37,MAN #l,37,"Carter should see this human right.
He's good. He's very good.   What do                             ix:
you say Harry?"
38,MAN #3,38,"(walking out)
I.. 'Freedomtown.'    Let them      take   a
look at him.    A long look."
39,TONY,39,"Hey, that's okay, too, Harry. No
hard feelings."
40,TONY,40,"Send me here, send me there. This.
That. Nothing you can do to me
Harry, Castro didn't do -- nothing...."
41,DISSOLVE TO,41,Seat's taken.
42,TONY,42,So I'll sit in your lap.
43,TONY,43,"So what'd you tell them?
I told them what you told me to tell
them.  I told them I was in sani-
tation in Cuba."
44,.TONY,44,"I didn't tell you sanitation.
you to tell them you was in a sani-
tarium, not sanitation."
45,.TONY,45,"Is that what you told me?..You didn't
tell me that."
46,TONY,46,"You know if     you hadn't opened your
mouth, they     woulda thought you were
a horse.  I      told you to tell them you"
47,was cured.,47,"had TB and
Fuck    you    Tony...."
48,TONY,48,"You    did nothing      right.     I shoulda      left
you    in Cuba."
49,BOGART,49,"Conscience.    Conscience.
Xf you believe you've got a conscience,
'it`ll pester you to death.   But if you
don't believe you've got one, what can
it do to you? Makes me sick so much
talking and fussing about nonsense.
Time to go to sleep."
50,BOGART,50,CUT    TO
51,TONY,51,"Fucking       crazy, hunh!"
52,TONY,52,"That gold dust blowing in the wind.
Y'see Manny, he's always looking
over his shoulder. Hunh?   Like me...."
53,TONY,53,"I . . don't    trust   nobody.
Yeah all that gold, hunh -- I guess
you get 60 crazy you never trust no-
body no more."
54,TONY,54,"Never happen to me, Chico. That's one
thing I never gonna be. I never gonna
be crazy like that.
Yeah, how do you know...."
55,TONY,55,"I know.
I don't know.          Sometime6   you    crazy,
too, Tony."
56,TONY,56,"Assholes,       I go crazy.      You   Manny,   I
never go crazy with you. You're
like my brother, I love you!
Yeah,     sure."
57,TONY,57,"c'mon.
Hey,"
58,TONY,58,"Hey    Manny.
Oye    Chi-Chi, what's             going    down."
59,TONY,59,"Usual shit.   Want some peanuts?
Pago's  carrying tonight.
I don't       know,     I get all fucked            up on
it....
CHI-CHI
Want some new snatch? A pussycat
name of Yolanda just rolled onto the
Boulevard ---
Oh    yeah, what        she       look   like?
CHI-CHI
She look like you 'cept she got a
snatch.
A     real    snatch?"
60,CHI-CHI,60,You're       not   kidding.   It           talks.
61,TRANSVESTITE,61,"What about you sugar -- you wanna
party?"
62,TONY,62,"(passing her)
Yeah     with whose cock,                honey?"
63,VOICE,63,Yes? ..Hello?..Who                is this?
64,TONY,64,"Angel, how ya doin'?"
65,TONY,65,"You know how many goddamn Fernandezes
are living in fucking Union City? And
I gotta call every fucking one of 'em
to find my brother!"
66,TONY,66,"Don't waste your dime, Chico.                           You
know your brother hates you."
67,TONY,67,"Go    fuck            yourself,     Tony."
68,TONY,68,"Hey    Chi-Chi's       okay,      he    hears        things,"
69,TONY,69,What's    he    hear   I    don't      hear.
70,TONY,70,"He hears we got problems. Im-
migration is having these hearings,
y ' know? And they're saying nine
out of ten of us is gonna get
back!
shipped"
71,TONY,71,"Oh    yeah?
Yeah.   And a lotta shit just went
down at Indiantown Gap. In
Pennsylvania.   Riots, fires, broken
heads.. -things are gonna pop here."
72,TONY,72,"Shit,     I coulda         told you that.
Yeah, so what do you think the
immigration's      gonna       do      when     we
riot? You think they're gonna let
us out? They're gonna throw away
the key, that's what."
73,TONY,73,Oh     shit!
74,TONY,74,"gonna end bad, muchachos...."
75,TONY,75,"Hey, I tell youguys this isn't Cuba
here, this is the United States.
They got nothing but lawyers here.
We're on the television. We're in
the newspapers. Whatta they gonna
do -- ship us back to Cuba? Castro
-- he don't want us. Nobody no
place wants us so whatta they gonna
do -- put us in a gas chamber so all
the people can see? They're stuck
with us, Chico            -- they      gotta     let      us
go!"
76,TONY,76,"Yeah, well, what if         we gotta   sit    here
another six months,          hunh?"
77,TONY,77,"You worry too much, mi hermano.  Like
the man says, 'when you got 'em by
the balls, their hearts and minds gonna
follow' --hunh?"
78,TONY,78,"(in awful
imitation)
'Oh yeah America! Love-to          love      you
baby, oh yeah!'"
79,TONY,79,Aw fuck....
80,TONY,80,Qye !   Tony!   C'mon!
81,TONY,81,"ANGEL
(at a distance)
Hey Tony where ya going?"
82,TONY,82,I got better-things to do.
83,ANGEL,83,"Chicken   liver,   hunh?"
84,TONY,84,Yeah?
85,TONY,85,Let's   walk.
86,TONY,86,"You ready for the good news, cone?"
87,TONY,87,"Yeah.
MANNY
We can be outta here in thirty days.
Not only that. We got a green card
and a job in Miami! Hunh? We're
made, Chico, we're made?"
88,TONY,88,"Yeah, whadda we gotta do, go to
Cuba and hit the Beard or what?"
89,TONY,89,"(shakes his
head)"
90,TONY,90,(enthusiastic)
91,TONY,91,Libertad!   Libertad!
92,TONY,92,Rebenga!
93,"TONY
(Spanish)",93,From    the friends you          fucked!
94,"TONY
(Spanish)",94,#02154                                16
95,(Xl,95,"The work is fast. The stiletto punches nine quick holes in
his lungs and his heart.. .And the figure of death is gone.
. . .And Emilio Rebenga staggers wildly in the smoke, uncompre-
hending eyes encased in broken glasses Sinking out of frame."
96,(Xl,96,"The riot is over.       The grounds are still, smoke and debris
the aftermath."
97,DISSOLVE TO,97,"An Immigration Officer passes a sheaf of documents across a
desk into a pair of hands. The camera gliding along a
Green Card pinned to the top of the stack.
It says ""ANTHONY MONTANA"" and it has picture and stamps.
It's official, as the camera moves with triumphant
immigration theme music.to the face of Mr. Montana
examining quite contentedly the rewards of his efforts.
End of montage.        Music       continues."
98,DISSOLVE TO,98,"The new Miami is rising UbiqUitOUSly above Biscayne Bay,
the camera moving past blossoming skyscrapers, workmen,
huge cranes, glass, mirrors booming upwards into a
beautiful blue Florida sky, fleeced with perfectly white
clouds.. .past a giant billboard:
HOW   ABOUT        A    MILLION   DOLLAR    LOAN?"
99,AT    THE    BANCO     DE   MIAMI...,99,"Past banks of glass (Caribank, Banco                   de Venezuela,
Amerifirst)....
Insert a car sticker going by with the image of the
American flag and the reminder: ""WilI. the last American
leaving Miami please bring flag?""
Tony and MaMy bop al.oig the street in their hand-me-down
clothes, oogling the chicas and the bodegas (in a plush
modern area of Miami). Boats. Buildings.    Cars."
100,TONY,100,"J3oy -- can you believe this place
Chico?
(Spanish)
Man,    they weren't        kidding     around."
101,TONY,101,"a little old
man walking
towards them)
See    that old guy over            there?
Yeah."
102,TONY,102,"Millionaire.
How    do   you   know?"
103,TONY,103,"Go over there. Ask him gimme some
money.  He'll give you the silver
right outta his pants -- that's
America man, that's what they do
here."
104,TONY,104,Yeah? Hey Tony catch this tomato.
105,TONY,105,Ooooh baby doll...(*SEE NOTE)
106,"(*SEE
TONY",106,Hey     baby   what   you say?       (*SEE   NOTE)
107,TONY,107,"Takes practice, mi sangre, but they
just love it when you flop that
pussy with it...."
108,TONY,108,Oooh...cono!   How 'bout that one?
109,TONY,109,No problem.
110,TONY,110,Come     on?
111,TONY,111,"(points)
Okay Rober Retfor,               strut your stuff."
112,TONY,112,"Pobre hijo de puta -- you got                      it all
mixed up. This country first                       you
gotta get the money, then you                      get
the power and when you got the
power, then you get the women                      -- and
then, Chico, you got the world                      by
the balls. Por 10s conjones.
There you go talking bit again man.
You don't know shit about the world.
Who was it got us the green card,
who got us the friends with the
connections, hunh -- who's getting"
113,MANNY (Cont'd),113,"us a job? You or me? Not you man.
You lucky you have any friends. You
lucky to have me as a friend...."
114,MANNY (Cont'd),114,"Yeah,        so    where's    this    job?"
115,(Xl,115,"Don't push men, my friends                   gonna
take care of everything."
