,character,line #,line
0,SAAVIK'S VOICE,0,"Captain's log. Stardate 8130.3,
Starship Enterprise on training
mission to Gamma Hydra. Section 14,
coordinates 22/87/4. Approaching
Neutral Zone, all systems
functioning."
1,SULU,1,"Leaving Section Fourteen for
Section Fifteen."
2,SAAVIK,2,"Project parabolic course to
avoid entering Neutral Zone."
3,SULU,3,"Aye, Captain."
4,UHURA,4,"Captain... I'm getting something
on the distress channel. Minimal
signal... But something..."
5,SAAVIK,5,Can you amplify?
6,UHURA,6,I'm trying...
7,SULU,7,Course change projected.
8,UHURA,8,It's an emergency distress call!
9,SAAVIK,9,On speakers!
10,VOICE,10,"Imperative! Imperative! This is
the Kobayashi Maru -- nineteen
periods out of Altair Six. We
have struck a gravitic mine and
have lost all power... Our hull
is..."
11,VOICE,11,... and many casualties.
12,UHURA,12,"This is the Starship Enterprise.
Your message is breaking up. Give
your coordinates. Repeat --"
13,VOICE,13,"Enterprise, our position is Gamma
Hydra, Section Ten..."
14,SAAVIK,14,In the neutral zone.
15,VOICE,15,"Hull penetrated, life support
systems failing. Can you assist
us, Enterprise? Can you..."
16,SAAVIK,16,Data on Kobayashi Maru! Tactical!
17,COMPUTER VOICE,17,"Subject vessel is third class
neutronic fuel carrier, crew of
eighty-one, three hundred passengers."
18,SAAVIK,18,Damn.
19,SAAVIK,19,"Mr. Sulu, plot an intercept course."
20,SULU,20,"May I remind the Captain that if a
Starship enters the zone --"
21,SAAVIK,21,"I'm aware of my responsibilities,
Mister."
22,SULU,22,"... Now entering the Neutral
Zone..."
23,COMPUTER VOICE,23,"Warning. We have entered the
Neutral Zone... Warning..."
24,SULU,24,Estimating two minutes to intercept.
25,SAAVIK,25,"Stand by transporter room, ready
to beam survivors, aboard."
26,UHURA,26,"Captain, I've lost their signal!"
27,COMPUTER VOICE,27,"Alert. Sensors indicate three
Klingon Cruisers, bearing 316,
mark 4, closing fast."
28,SAAVIK,28,Visual!
29,SAAVIK,29,Battle stations! Activate shields!
30,SULU,30,Shields activated!
31,SAAVIK,31,"Inform the Klingons we are on a
rescue mission..."
32,UHURA,32,"They're jamming all frequencies,
Captain --"
33,COMPUTER VOICE,33,Klingons on attack course and closing.
34,SAAVIK,34,"We're over our heads. Mr. Sulu,
get us out of here."
35,SULU,35,"I'll try, Captain."
36,COMPUTER VOICE,36,"Klingon cruisers approaching,
bearing 090, mark 20."
37,SAAVIK,37,Visual!
38,SAAVIK,38,Evasive action!
39,SAAVIK,39,Engineering! damage report!
40,SCOTTY'S VOICE,40,"Main energizer hit, Captain!"
41,SAAVIK,41,"Engage auxiliary power. Prepare
to return fire!"
42,A CADET,42,"Shields collapsing, Captain!"
43,SCOTTY'S VOICE,43,"Captain, we're losing auxiliary
power!"
44,SAAVIK,44,Fire all phasers...!
45,SPOCK,45,"No power to the weapons system,
sir."
46,SCOTTY'S VOICE,46,"Captain, it's no use. We're
dead in space."
47,SAAVIK,47,"Activate escape pods. Send out the
Log Buoy... All hands abandon ship.
Repeat -- all hands --"
48,KIRK'S VOICE,48,"All right, open her up."
49,SAAVIK,49,"Any suggestions, Admiral?"
50,KIRK,50,"Prayer, Mr. Saavik. The Klingons
do not take prisoners."
51,KIRK,51,Captain.
52,SPOCK,52,Trainees to the briefing room.
53,KIRK,53,"Physician, heal thyself."
54,BONES,54,That's all you have to say?
55,KIRK,55,I'm not a drama critic.
56,KIRK,56,"Well, Mr. Saavik, are you going
to stay with the sinking ship?"
57,SAAVIK,57,"Permission to speak candidly, sir?"
58,KIRK,58,Very well.
59,SAAVIK,59,"I don't believe this was a fair
test of my command capabilities."
60,KIRK,60,And why not?
61,SAAVIK,61,Because... there was no way to win.
62,KIRK,62,"A no-win situation is a possibility
every commander may face. Has that
never occurred to you?"
63,SAAVIK,63,"... No, sir. It has not."
64,KIRK,64,"How we deal with death is at least
as important as how we deal with
life, wouldn't you say?"
65,SAAVIK,65,"As I indicated, Admiral, that
thought had not occurred to me."
66,KIRK,66,"Then you have something new to think
about. Carry on."
67,BONES,67,"Wouldn't it be easier to put
an experienced crew back on the
ship?"
68,KIRK,68,"They'll learn. Galloping about the
cosmos is a game for the young,
doctor."
69,UHURA,69,What is that supposed to mean?
70,KIRK,70,Aren't you dead?
71,KIRK,71,"I assume you are loitering here
to learn what efficiency rating
I plan to give your cadets."
72,SPOCK,72,I am understandably curious.
73,KIRK,73,"They destroyed the simulator room
and you with it."
74,SPOCK,74,The
75,Kobayshi Maru,75,"scenario
frequently wreaks havoc with
students and equipment."
76,Kobayshi Maru,76,"As I recall you took the test
three times yourself. Your final
solution was, shall we say, unique?"
77,KIRK,77,"It had the virtue of never having
been tried."
78,SPOCK,78,"Yours was not a solution which
would have occurred to a Vulcan
mentality."
79,KIRK,79,"So you said at the time. Speaking
of which, your protg's first
rare -- a trifle emotional --"
80,SPOCK,80,"She's half Romulan, Jim. The
admixture makes her more volatile
than -- me, for example."
81,KIRK,81,"Than you. Yes, I see that. By
the way, thank you for this."
82,SPOCK,82,I know of your fondness for antiques.
83,KIRK,83,"'It was the best of times, it was
the worst of times...' Message,
Spock?"
84,SPOCK,84,"None of which I am consciously
aware -- except, of course, happy
birthday -- surely the best of times."
85,KIRK,85,"Hrummm... and where are you off
to, now?"
86,SPOCK,86,"The Enterprise. I must check in
before your inspection. And you?"
87,KIRK,87,Home.
88,SPOCK,88,Something oppresses you.
89,KIRK,89,Something.
90,CHEKOV'S VOICE,90,"Starship log, Stardate 8130.4.
This report classified MOST SECRET.
Log Entry by Commander Pavel Chekov,
Duty Officer. Starship USS Reliant
on orbital approach with Ceti Alpha
VI in connection with project code
name GENESIS. We are continuing
our search for a lifeless planet
which will serve as a suitable test
site for the Genesis Experiments.
This is the 16th planet we have
visited, so far, no success."
91,TERRELL,91,"Standard orbit, Mr. Beach."
92,BEACH,92,"Standard orbit, sir."
93,TERRELL,93,Any change in surface scan?
94,BEACH,94,"Negative. Limited atmosphere,
dominated by craylon gas, sand and
high velocity winds. Incapable
of supporting life forms."
95,"Ceti Alpha
CHEKOV",95,Does it have to be
96,completely,96,lifeless?
97,TERRELL,97,Don't tell me you've got something.
98,CHEKOV,98,"We've picked up a minor energy flux
reading on one dyno scanner."
99,TERRELL,99,"Damn! Are you sure? Maybe the
scanner's out of adjustment --"
100,CHEKOV,100,I suppose it
101,could,101,"be a particle
of preanimate matter caught in the
matrix..."
102,TERRELL,102,"All right, let's get on the Comm-pic to
Doctor Marcus. Maybe it's something
we can transplant."
103,CHEKOV,103,You know what she'll say...
104,CAROL MARCUS'S VOICE,104,"Something you can transplant? I
don't know --"
105,TERRELL,105,"It might only be a particle of
preanimate matter..."
106,CAROL,106,"Then again it might not. You
boys have to be clear on this:
there can't be so much as a
microbe or the show's off."
107,CAROL,107,"Why don't you have a look? If it
IS something that can be moved..."
108,TERRELL,108,"You bet, doctor. We're on our way!"
109,DAVID,109,"How can you let them pull that
stuff on you? They're just lazy."
110,CAROL,110,"And bored. I know. But maybe it
IS something they can..."
111,DAVID,111,"Come on, Mother, that's just the
military mentality. Never put off
tomorrow what you can put off today.
If there's one atom of life..."
112,CAROL,112,"I know, I know..."
113,DAVID,113,"Well, don't have kittens.
Genesis is going to work. They'll
remember  you in a wreath with
Newton, Einstein, Surak..."
114,CAROL,114,"Thanks a lot. No respect from my
offspring --"
115,DAVID,115,"Par for the course... you teaming
up with me for bridge after dinner?"
116,CAROL,116,Maybe...
117,DAVID,117,"Every time we have dealings with
Starfleet, I get nervous."
118,DAVID,118,"We're dealing with something
that COULD be perverted into
a dreadful weapon. Remember that
overgrown boy scout you used to
hang out with? That's exactly
the --"
119,CAROL,119,"Listen, kiddo, Jim Kirk was many
things, but he was never a Boy
Scout..."
120,KIRK,120,Come.
121,KIRK,121,"Bless me, doctor; and what beams
you into this neck of the woods?"
122,BONES,122,"'Beware Romulans bearing gifts.'
Happy Birthday..."
123,KIRK,123,"Romulan Ale! Bones, you know
this stuff is illegal --"
124,BONES,124,"I only use it for medicinal
purposes. Don't be a pring..."
125,KIRK,125,"Twenty-two, eighty-three..."
126,BONES,126,"Takes the stuff a while to
ferment. Gimme."
127,BONES,127,Now open the other one.
128,KIRK,128,"I'm almost afraid to. What did
you bring me, contraband Klingon --"
129,BONES,129,"More antiques for your collection
-- Cheers!"
130,KIRK,130,"Cheers. Bones, these are... charming."
131,BONES,131,"Four hundred years old. You don't
find many with the lens still
intact."
132,KIRK,132,Uh -- what are they?
133,BONES,133,"For your eyes. For most patients
of your age, I generally administer
Retlax Five to restore flexibility
of the lens."
134,KIRK,134,But I'm allergic to Retlax.
135,BONES,135,Exactly. Happy birthday.
136,BONES,136,"Slide them down your nose. Now look
at me over the top. And you read
printed matter through the bottom."
137,KIRK,137,Amazing! I don't know what to say --
138,BONES,138,Say thank you.
139,KIRK,139,Thank you.
140,BONES,140,"Damn it, Jim, what the hell's the
matter? Other people have birthdays.
Why're we treating yours like a funeral?"
141,KIRK,141,"Bones, I don't want to be lectured."
142,BONES,142,"What DO you want? Damn it, why
isn't there a girl here? You know
this has nothing to do with age.
This is about you flying a goddamn
computer console when you wanna be
out hopping Galaxies."
143,KIRK,143,"Spare me your notions of poetry,
please. We all have our assigned
duties and..."
144,BONES,144,"Bull. You're hiding -- hiding
behind the rules and regulations --"
145,KIRK,145,And who am I hiding from?
146,BONES,146,"From yourself, Admiral."
147,KIRK,147,"Don't mince words, Bones; tell
me what you really think."
148,BONES,148,"I'm your doctor and I'm your friend,
Jim. Get back your command. Get it
back before you really do grow old.
Before you turn into part of this
collection."
149,TERRELL,149,"Are you sure these are the
coordinates?"
150,CHEKOV,150,"Captain, this is the garden spot
of Ceti Alpha VI --"
151,TERRELL,151,I can hardly see --
152,CHEKOV,152,"There's nothing, let's go --"
153,TERRELL,153,They look like cargo carriers...
154,TERRELL,154,What is it?
155,CHEKOV,155,"A face! I saw -- it was like a
child --"
156,TERRELL,156,You're crazy -- !
157,CHEKOV,157,I saw it -- !
158,TERRELL,158,There's an air-lock.
159,TERRELL,159,There's breathable atmosphere in here.
160,TERRELL,160,"What the hell is this? Did they
crash? Where's the rest of the
ship?"
161,CHEKOV,161,I told you! I told you I saw a --
162,TERRELL,162,Ssssh!
163,"CHEKOV
Botany Bay",163,-- oh no!
164,TERRELL,164,What's the matter -- ?
165,CHEKOV,165,"Captain, we've got to get out of
here --"
166,TERRELL,166,But the child --
167,CHEKOV,167,Never mind! Hurry!
168,BEACH,168,Try again.
169,KYLE,169,"Starship Reliant to Captain Terrell
... This is Lieutenant Kyle. Will
you please respond, Captain...
Captain Terrell, respond please."
