,character,line #,line
0,ANDY DODD (V.O.),0,"Give it up for my man, Mr. Kumail
Nanjiani!"
1,KUMAIL (V.O.),1,"Hello. I grew up in Pakistan. And people
are always asking me, what was that like?
Really not that different from here. I
mean we played cricket, which is just a
spicier version of baseball. And we
prayed a lot. Well not a lot, just five
times a day. And we marry someone our
parents find for us. Arranged marriage,
you know. For me, it was probably that we
got episodes of the A-Team a little bit
later. And by a little bit later, I mean
we just got episode two. But other than
that, it was exactly the same."
2,CHRIS,2,"There's no bad crowds dude. Only bad
comedians."
3,KUMAIL,3,"You complain about the crowd like all
the time."
4,CHRIS,4,"Yeah, but that's when they're really bad."
5,KUMAIL,5,"So like ninety percent of the time,
they're really bad?"
6,CHRIS,6,"Will you just watch and give me notes
tonight? If we both give each other
notes, I think it would be helpful."
7,KUMAIL,7,"Your notes are just to add more ""fucks""
into the bit."
8,CHRIS,8,"Fuck's a funny word. Soft on the top and
it's hard on the end."
9,MARY,9,That was truly horrible.
10,KUMAIL,10,"Hey, that was great."
11,MARY,11,"No, he didn't even crack a smile. I
thought I was gonna puke."
12,CHRIS,12,Who?
13,MARY,13,Bob Dalavan.
14,CHRIS,14,Who's Bob Dalaban?
15,CJ,15,"Bob Dalavan - works for the Montreal
Comedy Festival, you fuckin' doof.
Don't you want to get noticed? Move to
LA? Hang out with Elijah Wood and shit."
16,DODD,16,No one's on stage?
17,MARY,17,No!
18,KUMAIL,18,He might have been doing cocaine.
19,CJ,19,Was he doing cocaine recreationally?
20,MARY,20,A true cokehead.
21,DODD (O.S.),21,"Now before I bring up the next guy, you
guys know tonight is Jell-o Shot
Tuesday! Whooo!! And we all know what
happens after eight Jell-o shots. We
urinate all over ourselves and puke.
Okay, so I'm going to bring up the next
comic. You know this man."
22,CHRIS,22,Confidence. Poise. Smile.
23,Dodd (O.S.),23,Give it up for Mister Chris Jones!
24,KUMAIL,24,"He's like if a serial killer fucked an
inspirational speaker."
25,CJ,25,"He's like Daniel Day Lewis except he
sucks."
26,CHRIS,26,"Just bought a laser printer. Printed
out like six lasers so far."
27,KUMAIL,27,"Hey Dodd. Dalavan's in the crowd
tonight. Could I do ten?"
28,DODD,28,"No. Five minutes. You put out chairs,
you get five minutes. You know the
deal."
29,KUMAIL,29,C'mon man. I'll double it up next time.
30,DODD,30,No.
31,KUMAIL,31,What are you gonna do in there?
32,DODD,32,I'm making up next week's schedule.
33,KUMAIL,33,Okay. Cool.
34,CJ,34,"I was in bed with my girlfriend and I was
trying to mansplain to her that, you
know, we are on one little rock orbiting
a star in a galaxy of a billion stars in
a universe full of a billion galaxies, so
I forgot your birthday. Who gives a shit?
You are cosmically over reacting to this.
Honestly you are being super selfish.
You're right, but you're selfish."
35,KUMAIL,35,"Hey! Have you guys heard of this new drug
cocktail called cheese? I saw these news
reports so I looked up what cheese is and
cheese is a mixture. Cheese is Tylenol PM
and heroin. So really, it's heroin.
Heroin's doing the heavy lifting. Just do
the heroin, it's very powerful. You
already have heroin."
36,KUMAIL (CONT'D),36,Is Pakistan in the house?!
37,KUMAIL (CONT'D),37,"You're not from Pakistan. I would have
noticed you."
38,CHRIS,38,"He just gave you Montreal? Like you
don't have to showcase or audition or
anything?"
39,CJ,39,"It was too easy. Like I wanted to
struggle. I wanted a story to be able
to tell on talk shows and instead,
like, you guys don't know how hard it
is not to struggle. It's a struggle
succeeding effortlessly."
40,MARY,40,Did he say anything about me?
41,CJ,41,Sure.
42,CHRIS,42,What about me?
43,CJ,43,"Both of you. He said, those guys
performed..."
44,MARY,44,"I truly hate you, actually."
45,CHRIS,45,We all hate you.
46,KUMAIL,46,Hi.
47,EMILY,47,Hi.
48,KUMAIL,48,"Um, my name is Kumail."
49,EMILY,49,Yeah. We know.
50,JESSIE,50,We saw you perform.
51,KUMAIL,51,"Yeah. Now that the niceties are out of
the way, I have to tell you that when
you yelled at me, it threw me off. You
really shouldn't heckle comedians. It's
so rude."
52,EMILY,52,"I didn't heckle you. I just woo-hooed
you. It was supportive."
53,KUMAIL,53,"Okay, that's a common misconception.
Yelling anything at a comedian is
considered heckling. Heckling doesn't
have to be negative."
54,EMILY,54,"So if I yelled out ""You're amazing in
bed,"" that would be a heckle?"
55,KUMAIL,55,Yeah. It'd be an accurate heckle.
56,JESSIE,56,Wow. Goodbye!
57,EMILY,57,Don't go! You scared my friend off now.
58,KUMAIL,58,What's your name?
59,EMILY,59,Emily.
60,KUMAIL,60,"I want to show you something, Emily.
This is your name in Urdu."
61,EMILY,61,Whoa. Does this move work?
62,KUMAIL,62,I've had some minor success with it.
63,EMILY,63,Bullshit.
64,KUMAIL,64,"So you came to a comedy show with your
friends?"
65,EMILY,65,"Yeah, we're all grad students at U of
C."
66,KUMAIL,66,What are you studying at grad school?
67,EMILY,67,"I study psychology. I'm going to be a
therapist."
68,KUMAIL,68,"Oh so you're gonna sit on a couch and
ask people, ""how did that make you
feel?"""
69,EMILY,69,"Eventually. Right now I'm doing field
work with a group of guys convicted of
domestic violence."
70,KUMAIL,70,Jesus.
71,EMILY,71,Cheers to that.
72,KUMAIL,72,"Oh wow. No, don't cheers to that. To
you becoming a therapist."
73,EMILY,73,"Great. To me getting my masters. We'll
start there and then we'll go to the
rest of it."
74,KUMAIL,74,"So my roommate Chris is probably on the
couch. He's going to try and start a
conversation. So no matter what- do not
engage. Okay? Let's go."
75,CHRIS,75,Hi!
76,CHRIS (CONT'D),76,Good for him.
77,KUMAIL,77,Do you want to watch a movie?
78,EMILY,78,"Sure. Should I just, put my stuff down?
Or..."
79,KUMAIL,79,"Yeah, I would say it's safe. You know
what, go for that area. I cleaned that
earlier this year."
80,EMILY,80,"Should I take my shoes off or is this a
shoes on bed?"
81,KUMAIL,81,"No, it's a shoes off bed. I have strict
rules."
82,EMILY,82,"Oh wow. That's totally an inflated
mattress."
83,KUMAIL,83,"Yeah. Did you think it would be a flat
inflatable mattress?"
84,EMILY,84,"I did think it might be an actual
mattress."
85,KUMAIL,85,"Well air mattresses are actual
mattresses. You're being bigoted towards
air based comfort items."
86,KUMAIL (CONT'D),86,Night of The Living Dead?
87,EMILY,87,"Sure, I haven't ever seen that movie."
88,KUMAIL,88,"Okay, so basically the dead start rising.
And the good guys, um..."
89,CHRIS,89,Text Lauren. You up girl?
90,SIRI,90,What do you want to say to Warren?
91,CHRIS,91,"Ah, no. Fuck."
92,SIRI,92,What do you want to say to-
93,CHRIS,93,You up? Period. Send.
94,SIRI,94,"That may be beyond my abilities at the
moment."
95,CHRIS,95,Fuck.
96,EMILY,96,What are these scars?
97,KUMAIL,97,"Oh, they're a smallpox vaccination."
98,EMILY,98,I thought only old people had those.
99,KUMAIL,99,"Well I'm from Pakistan. We're still
fighting some battles you guys have
already won."
100,EMILY,100,"What were you like in high school? Were
you like, super funny? Were you really
smart?"
101,KUMAIL,101,"I was very shy. They called me
chashmullee."
102,EMILY,102,What is that?
103,KUMAIL,103,"It roughly translates to ""dweeb."" I'll
show you a picture."
104,EMILY,104,Of you in high school? Oh my god!
105,KUMAIL,105,Boom.
106,EMILY,106,No.
107,KUMAIL,107,"And I'm thinking I'm killing it right
now."
108,EMILY,108,What inspired this hair cut?
109,KUMAIL,109,Hugh Grant.
110,EMILY,110,Oh no. And you're so serious.
111,KUMAIL,111,"I read in an interview with Hugh Grant,
he said he doesn't smile because it
makes his face look fat. So I didn't
smile in pictures for many years. What
were you like in high school? Were you
voted... Most Sexy?"
112,EMILY,112,"No. I was voted ""Most Noticeable."""
113,KUMAIL,113,That's good.
114,EMILY,114,"No. It's really not good. I had acne,
and I was a Goth and I had this
terrible perm. The kids called me
Beetlejuice. I don't know why. Actually
I do know why, it's because they
thought I looked like Beetlejuice. I
think I'm done with this subject. In
fact, I think I'm gonna go home."
115,KUMAIL,115,Wait we haven't even had sex again yet.
116,EMILY,116,"No. No. I'm really not that kind of
girl. I only have sex once on a first
date. Plus a hand job."
117,KUMAIL,117,Well I haven't had that yet!
118,EMILY,118,"You don't get that because you made fun
of me."
119,KUMAIL,119,"What is happening right now? What are you
doing?"
120,EMILY,120,I'm changing under this blanket.
121,KUMAIL,121,"I've seen everything. Do you remember, we
were just having sex?"
122,EMILY,122,"Yeah, but you were in the throes of
passion then. Listen, I had a really nice
time. Thank you very much. I'm just gonna
call an Uber and go home."
123,KUMAIL,123,"Your driver will be ready as soon as he
puts on his pants."
124,EMILY,124,"Were you available for rides while we
were fucking?"
125,KUMAIL,125,"Yeah, but I only looked a couple of
times."
126,EMILY,126,Great. I'm glad we're on the same page.
127,Azmat,127,"Look at these jeans, Kumi. They're from
Citizens of Humanity, that's the
brand's name. Touch them. They're so
soft."
128,KUMAIL,128,I don't want to touch your jeans.
129,AZMAT,129,"They're like sweatpants. You should be
stylish like your father. It's not very
difficult. Just observe me."
130,NAVEED,130,Get some Daddy Style.
131,SHARMEEN,131,"Kumi, why don't you grow a beard? Not
like Naveed's, just a small one."
132,AZMAT,132,"Maybe like mine, small and stylish."
133,SHARMEEN,133,"Kumi, I've been thinking, you know, why
you don't enroll for LSAT now?"
134,KUMAIL,134,"Yeah sorry, Ma. I haven't done it yet.
I like that you bring it up as though
you've never brought it up before."
135,NAVEED,135,How's the stand-up coming Bhai?
136,KUMAIL,136,It's going fine.
