,character,line #,line
0,MARK (V.O.),0,"Did you know there are more people with
genius IQ's living in China than there
are people of any kind living in the
United States?"
1,ERICA (V.O. ),1,That can't be true.
2,MARK (V.O.),2,it is true.
3,ERICA (V.O.),3,What would account for that?
4,MARK (V.0.),4,"Well first of all, a lot of people live
in China. But here's my question:"
5,FADE IN,5,"MARK ZUCKERBERG is a sweet looking 19 year old whose lack of
any physically intimidating attributes masks a very
complicated and dangerous anger. He has trouble making eye
contact- and sometimes it's hard to tell if he's talking to you
or to himself.
ERICA, also 19, is Mark's date. She has a girl-next-door face
that makes her easy to fall for. At this point in the
conversation she already knows that she'd rather not be there
and her politeness is about to be tested.
The scene is stark and simple."
6,MARK,6,"How do you distinguish yourself in a
population of people who all got 1600 on
their SAT's?"
7,ERICA,7,I didn't know they take SAT's in China.
8,MARK,8,"I wasn't talking about China anymore, I
was talking about here."
9,ERICA,9,You got 1600?
10,MARK,10,"You can sing in an a Capella group.
2."
11,BRICA,11,"Does that mean that you actually got
nothing wrong?"
12,MARK,12,"Or you row crew or you invent a 25 dollar
PC."
13,ERICA,13,Or you get into a final club.
14,MARK,14,"Or you get into a final club, exactly."
15,ERICA,15,I like guys who row crew.
16,"MARK
(BEAT)",16,"Well I can't do that. And yes, it means I
got nothing wrong on the test."
17,ERICA,17,Have you ever tried?
18,MARK,18,I'm trying now.
19,ERICA,19,To row crew?
20,MARK,20,"To get into a final club. To row crew?
No. Are you, like--whatever--crazy?"
21,ERICA,21,"Sometimes, Mark-seriously-YOU say two
things at once and I'm not sure which one
we're talking about."
22,MARK,22,"But you've seen guys who row crew, right?"
23,ERICA,23,No.
24,MARK,24,"Okay, well.. they're bigger than me.
They're world class athletes. And a
second ago you said you like guys who row
crew so I assumed you'd met one."
25,ERICA,25,"I guess I meant I liked the idea of it.
The way a girl likes cowboys.
3."
26,MARK,26,The Phoenix is good.
27,ERICA,27,This is a new topic?
28,MARK,28,It's the same topic.
29,ERICA,29,"We're still talking about the finals
clubs?"
30,MARK,30,"Would you rather talk about something
else?"
31,ERICA,31,"It's just that since the beginning of
the conversation about finals clubs I
think I may have had a birthday."
32,MARK,32,"We can change the subject.
ERICA.
(can't get over it)
There are more people in China with genius
IQ's than the entire population of--"
33,MARK,33,It's about exclusivity.
34,T'RICA,34,.....what is?
35,MARK,35,"The final clubs. And that's how you
distinguish yourself. The Phoenix is the
most diverse. The Fly Club, Roosevelt
punched the Porc."
36,ERICA,36,Which one?
37,MARK,37,"The Porcellian, the Porc, it's the best
of the best."
38,ERICA,38,I actually meant which Roosevelt.
39,MARK,39,"Theodore.
4."
40,ERICA,40,"Okay, well, which is the easiest one to
get into?
MARK takes a cigarette from a pack, lights it, takes a drag
and blows the smoke out before he says..."
41,MARK,41,Hm.
42,ERICA,42,What?
43,MARK,43,why would you ask me that?
44,ERICA,44,I was just asking.
45,MARK,45,"They're all hard to get into. My friend
Eduardo made $300,000 betting on oil
futures last summer and he won't get in.
Money or the ability to make it doesn't
impress anybody around here. Everybody
can do that."
46,ERICA,46,"He made $300,000 in a summer?"
47,MARK,47,He likes meteorology.
48,ERICA,48,You said it was oil futures.
49,MARK,49,"If you can predict the weather you can
predict the price of heating oil. You
asked me that because you think the final
club that's easiest to get into is the
one where I'll have the best chance,"
50,"ERICA
(BEAT)",50,I've lost my place again.
51,MARK,51,"You asked me which one was the easiest to
get into because you think that's where I
have the best chance."
52,ERICA,52,"The one that's easiest to get into would
be the one where anybody had the best
chance.
S."
53,MARK,53,"I just think you asked--the placement of
where you asked the question--"
54,ERICA,54,"I was honestly just asking. Okay? I was
asking just to ask. Mark, I'm not
speaking in code."
55,MARK,55,Erica--
56,ERICA,56,"You're obsessed with the finals clubs.
You have finals clubs OCD and you need to
see someone about this who'll prescribe
some sort of medication. You don't care
if side effects may include blindness,
okay, just do it."
57,MARK,57,"Final clubs. Not finals clubs and there's
a difference between being obsessed and
being motivated."
58,ERICA,58,Yes there is.
59,MARK,59,"Well you do--that was cryptic--so you do
speak in code."
60,ERICA,60,I didn't mean to be cryptic.
61,MARK,61,"I'm saving I need to do something
substantial in order to get the attention
of the clubs."
62,ERICA,62,Why?
63,MARK,63,Because they're exclusive.
64,(BEAT),64,And fun and they lead to a better life.
65,ERICA,65,"You think Teddy Roosevelt got elected
president because he was a member of the
Phoenix Club?"
66,MARK,66,"He was a member of the Porcellian and yes
I do.
6."
67,ERICA,67,Maybe he sang in an a Capella group.
68,MARK,68,"I want to be straight forward and tell
you that I think you should be a lot more
supportive. If I get in I'll be taking
you to the parties and you'll be meeting
people that you wouldn't normally get to
meet."
69,"ERICA
(SMILES)",69,You would do that for me?
70,MARK,70,You're my girlfriend.
71,ERICA,71,"okay, well I want to be straight forward
and tell you that I'm not anymore."
72,"MARK
(BEAT)",72,What do you mean?
73,ERICA,73,"I'm not your girlfriend anymore,"
74,MARK,74,Is this a joke?
75,ERICA,75,"No, I'm sorry, it's not."
76,MARK,76,You're breaking up with me?
77,ERICA,77,"You're going to introduce me to people I
wouldn't normally get to meet? What the
fuck is that supposed to mean?"
78,MARK,78,Take it easy.
79,ERICA,79,What was it supposed to mean?
80,MARK,80,"It was--Erica, the reason we're able to
sit here and drink is that you used to
sleep with the door guy."
81,"ERICA
(PAUSE)",81,I want to really try not to lose it now.
82,(MORE),82,7.
83,ERICA (CONT'D),83,"The door guy's name is Bobby. I haven't
slept with the door guy, the door guy's a
friend of mine. He's a perfectly good
class of people and what part of Long
Island are you from--England?"
84,MARK,84,I'm from Westchester.
85,ERICA,85,I'm going back to my dorm.
86,MAFT,86,"Wait, wait, thisi reel?"
87,ERICA,87,Yes.
88,MARK,88,"I apologize, okay? Siddown."
89,ERICA,89,"I'm going back to my dorm, I have to
study."
90,"MARK
ERICA---
ERICA",90,Yeah.
91,MARK,91,I'm sorry and I mean it..
92,ERICA,92,I appreciate that but--
93,MARK,93,Come on.
94,ERICA,94,---I have to study.
95,MARK,95,You don't have to study. Let's just talk.
96,ERICA,96,I can't..
97,MARK,97,Why?
98,ERICA,98,"Because it's exhausting. Going out with
you is like dating a stairmaster.
S."
99,MARK,99,"All I meant is that you go to B.U. and so
you're not likely to--I wasn't making a
comment on your parents--I was saying you
go to B.U."
100,ERICA,100,I have to go study.
101,MARK,101,You don't have to study.
102,ERICA,102,How do you know I don't have to study?!
103,MARK,103,"Because you go to B.U.!
ERICA stares at him..."
104,"MARK (CONT'D)
(BEAT)",104,Do you want to get some food?
105,ERICA,105,"I'm sorry you're not sufficiently
impressed with my education."
106,MARK,106,And I'm sorry T don't have a rowboat.
107,ERICA,107,I think we should just be friends.
108,MARK,108,I don't need friends.
109,ERICA OF,109,"I was being polite, I had no intention
being friends with you."
110,MARK,110,"You're really leaving.
ERICA takes MARK's hand and looks at him tenderly.."
111,"ERICA
(CLOSE)",111,"Listen, You're going to be successful and
rich. But you're going to go through life
thinking that girls don't like you
because you're a tech geek. And I want
you to know, from the bottom of my heart,
that that won't be true. It'll be because
you're an asshole.
9.
And with that stinger, ERICA walks off and we stay on MARK as
the pulsing intro to Paul Young's ""Love of the Common People"""
112,"CRASHES IN----
ERICA (CONT'D)",112,"(calling over her shoulder)
And you're never getting into a final
club.
Along with the MUSIC, we slowly push in on MARK. A fuse has
just been lit."
113,CUT TO:,113,"As MARK busts out of the bar, past Bobby the door guy and into
the population of Harvard Square."
114,CUT TO:,114,"As MARK continues on, he passes a group of people heading in
the opposite direction for a party.
As MARK's steady and determined stride continues, he'll. pass
by all kinds of (seemingly) happy, well-adjusted, socially
adept people.
The vocals from the Paul Young song come in--"
115,PAUL YOUNG,115,"LIVING ON FREE FOOD TICKETS
WATER IN THE MILK FROM A HOLE IN THE ROOF
WHERE THE RAIN CAME THROUGH
WHAT CAN YOU DO?
TEARS FROM YOUR LITTLE SISTER
CRYING 'CAUSE SHE DOESN'T HAVE A DRESS
WITHOUT A PATCH FOR THE PARTY TO GO
BUT YOU KNOW SHE'LL GET BY"
116,CUT TO:,116,"As the MUSIC CONTINUES and MARK busts into the lobby of his
dorm. He doesn't look at anyone as he heads up the stairs and"
117,"WE
CUT TO:",117,"A bedroom that's part of a three-bedroom suite. The MUSIC
CONTINUES as MARK walks in, flicks his lap-top on without
looking at it and walks out of frame as we stay on the laptop."
118,PAUL YOUNG,118,'CAUSE SHE'S LIVING IN THE LOVE OF THE
119,COMMON PEOPLE,119,"SMILES FROM THE HEART OF A FAMILY MAN
DADDY'S GONNA BUY YOU A DREAM TO CLING TO
MAMA'S GONNA LOVE YOU JUST AS MUCH AS SHE"
120,CAN,120,"AND SHE CAN
Then a moment or two later, a glass with ice gets set down
next to the lap-top. Then a carton of orange juice followed by
a bottle of vodka.
MARK's fingers dance easily on the keyboard---like a Juilliard
pianist warming up.
In the exact time it takes him to pour the vodka and orange
juice over ice, the website he's just called up gets loaded
onto the screen.
Zuckonit.com
This is the only place he's comfortable."
121,"TITLE:
8:13 PM",121,"He begins blogging.
MARY, (V.0.)
Erica Albright'â¢s a bitch. You think
that's because her family changed their
name from Albrecht or do you think it's
because all B.U, girls are bitches?
He takes a good gulp of his drink. We see the words we're
hearing filling up his computer screen--
MARK (V,O.) (CONT'D)
Folks, for the record, she may look like
a 34D but she's getting all kinds of help
from our friends at Victoria's Secret,
She's a 348, as in barely anything there..
False advertising."
122,CUT TO:,122,11.
123,CUT TO:,123,"Fresh ice gets dropped in the glass and a new drink poured.
""Love of the Common People"" continues."
124,"TITLE:
9:48 PM",124,"in back of MARK, sitting on the bed and hitting a bong, is
BILLY. OLSEN."
125,MARK (V.O.),125,"The truth is she has a nice face. I need
to think of something to help me take my
mind off her. Easy enough, except I need
an idea.
MARK has moved his mouse to an icon on his desktop labeled
""Kirkland Facebook"". He clicks and opens it. A menu of photos
appear. He blogs again.
MARK (V.0.) (CONT'D)
I'm a little intoxicated, I'm not gonna
lie. So what if it's not even 10PM and
it's a Tuesday night? The Kirkland
Facebook is open on my desktop and some
of these people have pretty horrendous
f acebook-pics. Billy Olson's sitting here
and had the idea of putting some of these
girls' faces next to pictures of farm
animals and have people vote on who's
hotter. ."
126,CUT TO:,126,"We'll be cutting back here a lot in this sequence, with the
Paul Young song tying them together, as we show---mostly MOS---
preparations under way for the hottest party on campus
tonight.
We start on a good looking STUDENT fixing his tie in the
bathroom mirror. He walks out of the bathroom and into the
main area where he's immediately tossed a bottle of champagne
by a similarly dressed STUDENT. We see that there are a
couple of dozen other guys around. Our guy takes the champagne
bottle and sticks it on the bar, which is being stocked by two
sexy FEMALE uniformed BARTENDERS.
Our guy walks past P. DJ's table where the DJ is setting up his
incredibly high-end equipment.
Our guy trots down a set of mahogany and red-carpet stairs,
opens a heavy door and looks out to the sidewalk.
12,
A BOUNCER in a tuxedo is standing by a velvet rope which is
holding back three dozen STUDENTS. The students are mostly
women and the women are all dressed to catch a man.
Over all this, we HEAR MARK CONTINUINGâ"
127,MARK (V.0.),127,"Good call, Mr. Olson! I think he's on to
something."
128,"TITLE:
10:17 PM",128,"MARK (V.0.) (CONT'D)
year it's on. I'm not gonna do the farm
animals but I like the idea of comparing
two people together. It gives the whole
thing a very Turing feel since people's
ratings of the pictures will be more
implicit than, say, choosing a number to
represent each person's hotness like they
do on hotornot.com. The first thing we're
going to need is a lot of pictures.
Unfortunately, Harvard doesn't keep a
public centralized facebook so I'm going
to have to get all the images from the
individual houses that people are in. Let
the hacking begin.
CUT. TO:"
129,"TITLE:
10:17 PM",129,"There are two more kids-in the room with MARK--DUSTIN
MOSKOWITZ and CHRIS.-BUGHES."
130,MARK (V.0.),130,"First u is Kirkland. They keep
everything open and allow indexes in
their Apache configuration, so a little
NGET magic is all that's necessary to
download the entire Kirkland facebook.
Kids' stuff.
On the computer screen, we've been seeing him download picture
after picture of Harvard girls."
131,CUT TO;,131,"THREE COES, dressed kill, are talking BOUNCER. The
BOUNCER O l up at TWO HAND CLUB ME BERS. The MEMBERS"
132,CUT TO;,132,"rope.
13.
They're led. in to a party in full swing. The best and the
brightest are checking out the hottest and the easiest."
133,CUT TO:,133,MARK finishes another drink and gets back to his work.
134,"TITLE:
1:03 AM
MARK (V.0.)",134,"Next is Elliot. They're also open but
with no indexes on Apache. I can run an
empty search and it returns all of the
images in the database in a single page.
Then I can save the page and Mozilla will
save all the images for me. Excellent.
Moving right along.
Flying by at super-speed on MARR's computer screen have been
commands and images that the rest of us can't possibly
understand."
135,CUT TO:,135,"GIRLS are dancing with each other, doing tequila shots with
guys and laughing at jokes."
136,PAUL YOUNG,136,"T.T'S A GOOD THING YOU DON'T HAVE A BUSFARE
IT WOULD FALL THROUGH A HOLE IN YOUR POCKET
AND YOU'D LOSE IT IN THE SNOW ON THE"
137,GROUND,137,"YOU GOT TO WALK INTO TOWN TO FIND A JOB
(WHAT'S A. JOB?)
TRYIN' TO KEEP YOUR HANDS WARM
WHEN THE HOLE IN YOUR SHOE LETS THE SNOW
CONE THROUGH AND CHILLS YOU TO THE BONE
NOW YOU BETTER GO HOME WHERE IT'S WARM
Over this we HEAR MARK's blog posts starting to cascade into"
138,ONE ANOTHER--,138,"MARK (V.0)
Lowell has some security. They require a
username/password combo and I'm going to
go ahead and say they don't have access
to main faa user database, so they have
no way of--â¢
14,
MARK (V.O.) (CONT'D)
Adams has no security but limits the"
