,character,line #,line
0,V.O. NARRATION,0,"""The economic explosion following
the Civil War created an
unprecedented nation-wide market
for beef.  Previously worthless
cattle running wild throughout
Texas were gathered into herds
And driven north to the railheads
In Kansas.  Fortunes were made as
Cowtowns sprang up on the
Prairies, wide-open centers of
Commerce and vice, their streets
Choked with heavily-armed young
Men fresh from the cattle drives.
In those days the correct term
For a cowhand was 'drover'.
'Cowboy', like 'cowpoke', was
originally an insult implying
deviant sexuality and was rarely
used.  But these invading drovers
were a wild breed for soon
shootings and wholesale drunken
riots became so frequent that
ordinary citizens literally could
not walk down the street.  In fact
at their height the cowtowns had
higher murder rates than modern
New York or Los Angeles and there
Was no law but that of the gun."""
1,V.O. NARRATION,1,"""Straight-up at 75 yards or eye-
to-eye at point-blank range, the
greatest gunman of all time was
an Illinois abolitionist farm boy
named James Butler Hickok, better
known as Wild Bill, the Prince of
Pistoleers.  But Wild Bill worked
His trade on the side of justice
And as marshal of cowtowns like
Hays City and Abilene he became a
Legend, the one man who stood
Between law and chaos."""
2,V.O. NARRATION,2,"""Wild Bill's fame spread nation-
wide but his end came quietly in
the spring of '76 when a strange
cross-eyed little drifter put a
bullet through the back of his
head, apparently for no other
reason than he wanted to kill a
celebrity."""
3,V.O. NARRATION,3,"""In Dodge City meanwhile, Wyatt
Earp and Bat Masterson were
Becoming known as fast-guns.  But
Their fame had nothing to do with
Shooting."""
4,V.O. NARRATION,4,"""Earp and Masterson operated more
like modern policemen, using
teamwork and persuasion to keep
order.  Still, sometimes things
got out of hand."""
5,V.O. NARRATION,5,"""But Wyatt had a guardian angel."""
6,V.O. NARRATION,6,"""John Henry 'Doc' Holliday was
the son of an aristocratic,
highly cultured southern family.
Trained in Philadelphia, he had
Embarked on a career as a society
Dentist when he contracted
Tuberculosis.  Advised to practice
In the west where it was thought
The climate and clean air would
Prolong his life, Doc soon
Realized it was all only a matter
Of time and gave up dentistry to
Become a professional gambler and
Gunman..."""
7,V.O. NARRATION,7,"""Others headed east.  Bent on
becoming an actress.  Josephine
Marcus defied her wealthy and
Very proper San Francisco Jewish
Family to run away with a
Traveling theatrical company,
Braving the perils of the
Frontier on her own.  Dangerous as
This might seem, it was another
Age and women were so rare, their
Presence so cherished that they
Could travel virtually anywhere
In the west in perfect safety."""
8,V.O. NARRATION,8,"""At about this time the Texas
Rangers, having eliminated the
Commanche threat, turned their
Attention to the outlaw gangs
Marauding along the Rio Grande,
Cleaning up the border strip in 4
Years of hard riding.  Those they
Could not indict or convict the
Rangers put down in their Black
Book, letting it be known that
They could either leave Texas or
Face summary execution.  This
Resulted in the mass migration of
The absolute dregs of the Texas
Underworld to the most dangerous,
Uncivilized part of the entire
Country, the southeast corner of
The Arizona Territory."""
9,V.O. NARRATION,9,"""Harsh and inhospitable, savaged
in turn by the Apache and Mexican
bandits, this had always been an
accursed place, a virtual hell on
earth where it was thought life
itself could never prosper, much"
10,V.O. NARRATION (cont.),10,"less civilization.  Then in 1879,
a prospector named Ed Schiefflin
set off alone into the Dragoon
Mountains.  Friends told him he
Was crazy, that the only thing
He'd find in this Godforsaken
Place would be his tombstone.
Instead he found silver, lots of
It, and overnight the town of
Tombstone sprang up.  Mining
Taking out millions in ore.  Land
Value shot sky-high and
Speculators and gamblers and
Opportunists of all nations
Scrambled in by the thousands to
Make Tombstone queen of the
Boomtowns, so rich that the
Latest Paris fashions, hard to
Find even in the biggest cities,
Were sold there by the wagonload
From the makeshift storefronts."""
11,V.O. NARRATION,11,"""Meanwhile, the exile Texans had
banded together to form the
nucleaus of an organized gang.
Seizing controp of the
Surrounding countryside they
Robbed stagecoaches at will while
The big absentee business
Interests employed them as tax
Collectors and strongarm men.  But
The backbone of their trade
Remained border rustling,
Periodic raids into Mexico to
Steal cattle while engaging in
What was described as a virtual
Orgy of murder and violence.  The
Raids became so frequent and so
Bloody that the Mexican
Government formally protested to
U.S. President Chester A. Arthur,
Prompting heated debate in
Congress.  General Sherman
Declared that the only possible
Way of bringing order was to send
In the army but in the wake of
Civil War Reconstruction federal
Intervention in civilian affairs
Was politically impossible."""
