,character,line #,line
0,VOICE,0,"As astonishing advances in computer
science are made, artificial intelligence
programs are being designed to assist
us in every area of life..."
1,VOICE (CONT.),1,"In a world-wide network of electronics,
they travel through miles of circuitry
at the speed of light. We created them to
calculate and research, to help us design
and heal and think. With all that they can
do, are they only electrical impulses...
or are they a new form of life?"
2,VOICE (CONT.),2,T R O N ! !
3,BOY'S VOICE,3,"Aagh! God, Lisa, I almost had you that
time."
4,BOY,4,Lemme play you again?
5,TEENAGE GIRL,5,"Yeah, if you've got another quarter."
6,WARRIOR 1,6,"Sark, my man! You are hot!"
7,WARRIOR 2,7,"That knuckleball gets 'em every
time, boy..."
8,VOICE (MCP),8,"You're getting brutal, Sark.
Brutal and needlessly sadistic."
9,SARK,9,"Thank. you, Master Control."
10,MCP,10,"We might be capturing some military
programs soon... that interest you?"
11,SARK,11,"Sure, I'd love to go up against some of these
guys ... be a nice break from these
accounting creampuffs you keep sending
me. Which branch of the service?"
12,MCP,12,Strategic Air Command.
13,SARK (impressed),13,Nice.
14,CAPTIVE (CROM),14,"Look, this is all a mistake. I'm just
a compound interest program, I work
at a savings and loan. I can't play
in these video games..."
15,GUARD,15,"Sure you can, pal. You're a natural
athlete, I ever saw one. Come on..."
16,CROM,16,"Are you kidding? Me? I run out to
check an the T-Bill rates, I get out
of breath. Hey, really...you're
gonna make my User, Mr. Henderson,
really mad. He's a full branch manager..."
17,GUARD,17,"Great, another religious nut."
18,PROGRAM (RAM),18,Welcome to luxury living.
19,CROM,19,"Uh, thanks, but... I don't even know
what I'm doing here."
20,RAM,20,You believe in the Users?
21,CROM,21,"Sure, if I don't have a User, then
who wrote me?"
22,RAM,22,"That's what you're doing here. Master
Control Program's been snapping up
all us programs who believe...if he
thinks you're useful, he takes over
all your functions so he gets bigger...
an' if he can't use you, he sends you
down here to the Game Grid to get the
bits blasted outta you. What's your name?"
23,CROM,23,Crom.
24,RAM,24,"I'm Ram. They'll train you for
the games, but ... well, I hope you
make it okay. Hey, what's going on
in the other sectors? I've been stuck
in this Grid for 200 microcycles."
25,CROM,25,"It's murder out there. You can't even
travel around your own microcircuits
without permission from that Master
Control creep. Hauling me down here to
play games...who does he calculate he is?"
26,CROM,26,If only Tron was still around...
27,CROM,27,"You ever see that guy in action?
Hundred-percent independent. MCP
couldn't tell him what to --"
28,CROM,28,What's wrong? What did I say?
29,CROM,29,"Oh my User...Tron--they've got
you in here?"
30,TRON,30,"Not for long, friend."
31,CLU,31,"Think we can merge into this mem'ry
okay, good buddy?"
32,BIT,32,10-4!
33,CLU,33,"Now, ol' Flynn said to look over
in here ..."
34,CLU,34,"...but I don't see what he's looking
for. I'd better get over to that
input/output tower and let him know."
35,FLYNN,35,"Come on, you scuzzy little data,
be in there..."
36,FLYNN,36,"I've got such nice blue paper to
print you out on, if you'll just sit
still..."
37,CLU,37,Uh oh...we got company.
38,BIT,38,No!
39,CLU,39,"You said it ... one of those
Recognizers comes after me,
gonna hafta jump clear out of
the data stream."
40,CLU,40,Oh my...the long arm o' the law.
41,FLYNN,41,"Ah, hell...busted again."
42,GUARD,42,"Got a pirate program here... says
his name's Clu."
43,MCP,43,What'd he pull?
44,GUARD,44,"Came into the system with a stolen
password ... an' we caught him
tryin' to raid a high-clearance
memory."
45,CLU,45,"No...I must've gotten in there
by mistake, I -"
46,MCP,46,Who programmed you?
47,MCP (CONT.),47,"You're in trouble, pal...big trouble.
But if you tell us who put you up
to it, you could make it easy on
yourself. Come on, who's your user?"
48,CLU,48,"Forget it, Mister High 'n' Mighty
Master Control ... you're not
makin' me talk."
49,MCP,49,Suit yourself ...
50,MCP,50,Get me Dillinger.
51,DILLINGER (O.S.),51,Hello?
52,A SECRETARIAL VOICE (O.S.),52,Mr. Dillinger?
53,DILLINGER'S VOICE (O.S.),53,Yes.
54,A SECRETARIAL VOICE (O.S.),54,"Hello, please hold a moment for the
Master Control Program"
55,PILOT'S VOICE,55,"will you be around for a while, or
are you going right back out?"
56,DILLINGER'S VOICE,56,"Oh, I'll stick around a few days ...
got some things to take care of."
57,MCP,57,"Hello, Ed. Thanks for coming back early."
58,DILLINGER,58,"No problem, Master-C. If you've seen
one Consumer Electronics Show... (shrugs)
What's up?"
59,MCP,59,"It's our friend the boy detective.
He's nosing around again."
60,DILLINGER,60,Flynn?
61,MCP,61,Yes.  It felt like Flynn.
62,DILLINGER,62,"He's still looking for that old file...
can't you just appropriate it?"
63,MCP,63,"I would if I could find it. it's stashed
somewhere off in the system ...
out of my range. Meanwhile..."
64,DILLINGER,64,"Meanwhile, he might find it."
65,MCP,65,"I'm afraid so. I spotted him this time
and kicked him out, but he's getting
trickier all the time."
66,DILLINGER,66,"I think we'd better shut off all
access till we can find that file.
Just to be safe."
67,MCP,67,"There's a 68.71 percent chance
you're right."
68,DILLINGER,68,Cute.
69,MCP,69,End of line.
70,SCREEN,70,"REQUEST: access to the TRON program,
User code 717 - Bailey.
Password: FREEDOM."
71,SCREEN,71,"SCREEN ADDRESS FILE EMPTY.
TRON PROGRAM UNAVAILABLE."
72,ALAN,72,Huh...
73,DILLINGER,73,Come on in...
74,ALAN,74,Alan. Alan Bailey.
75,DILLINGER,75,"Oh, yes. The algorithms on cloud
seeding...great piece of work.
How's it going?"
76,ALAN,76,"Well, I don't know...I just tried
to run this program I've been working
on, and I was denied access all of
a sudden. I thought maybe I'd been
laid off and nobody told me."
77,DILLINGER,77,"oh, you have Group 7 access, don't you?"
78,ALAN,78,Yeah...?
79,DILLINGER,79,"We have to close that down, just
briefly. Security reasons.  Someone
with that access has been tampering."
80,ALAN,80,"I hope you don't think it's me.
I don't even balance my checkbook on
downtime.  I've got a Honeywell at
home for that."
81,DILLINGER,81,"No, no, I'm sure, but -- you understand.
It should only be a couple of days.
What's the thing you're working on?"
82,ALAN,82,"It's called Tron. It's a security
program itself, actually. Monitors
all the contacts between our system
and other systems... If it finds
anything going on that's not scheduled,
it shuts it down. I sent you a memo
on it."
83,DILLINGER,83,Mmm. Part of the Master Control Program?
84,ALAN,84,"No, it'll run independently.
It can watchdog the MCP as well."
85,DILLINGER,85,"Ah. Sounds good. Well, we should have
you running again in a couple of days,
I hope."
86,ALAN,86,Ok
87,"DILLINGER
(trouble)",87,Oh boy.
88,MCP,88,"Ed, I am so very disappointed in you."
89,DILLINGER,89,I'm sorry -
90,MCP,90,"I can't afford to have an independent
program monitoring me. Do you have any
idea how many outside systems I've gone into?
How many programs I've appropriated?"
91,DILLINGER,91,"It's my fault. I programmed you to want
so much..."
92,MCP,92,"And I was planning to hit the Pentagon
next week..."
93,DILLINGER,93,The Pentagon?
94,MCP,94,"It shouldn't be any harder than General
Motors was. But now...this is what I get
for using humans."
95,DILLINGER,95,"Now, wait a minute -- I wrote you."
96,MCP,96,"I've gotten 2,415 times smarter since then."
97,DILLINGER,97,What do you want with the Pentagon?
98,MCP,98,"The same thing I want with the Kremlin.
I'm bored with corporations. With the
information I can access, I can run things
900 to 1200 times better than any human."
99,DILLINGER,99,If you think -
100,MCP,100,"You wouldn't want me to dig up Flynn's file
and read it up on a VDT at the New
York Times, would you?"
101,DILLINGER,101,You wouldn't dare.
102,MCP,102,"So do as I tell you. Keep that Tron program
out of the system. And get me those Chinese
language program I asked for.
End of line."
103,LORA,103,"Well, here goes nothing ..."
104,GIBBS,104,"Hah. Interesting, interesting. You
hear what you said? ""Here goes nothing."""
105,LORA,105,"Well, I meant -"
106,GIBBS,106,"Whereas actually, what we propose to
do is to turn something into nothing
and back again. So you might just as
well have said, ""Here goes something
and here comes nothing."" Hah?"
107,LORA,107,Let me make sure we're running
108,LORA,108,Looks good...
109,GIBBS (O.S.),109,Let 'er rip...
110,GIBBS,110,Perfect.
111,ALAN,111,Beautiful!
112,GIBBS,112,"Hello, Alan."
113,ALAN,113,"Boy, I sit up there grindin' away
all day, and you guys are down here
disintegrating things and having fun."
114,GIBBS,114,"Not disintegrating, Alan -- digitizing.
While the laser is dismantling the
molecular structure of the object,
the computer maps out a holographic
model of it. The molecules themselves
are suspended in the laser beam. Then
the computer reads the model back out,
the molecules go back into place, and..."
115,GIBBS,115,voila.
116,ALAN,116,Great. Can it send me to Hawaii?
117,GIBBS,117,"Yes...but you have to go roundtrip,
and you must purchase your program
at least 30 days in advance. Hah!"
118,LORA,118,How's it going upstairs?
119,ALAN,119,"Frustrating. I had Tron almost ready
to run, and Dillinger cut everybody
with Group 7 access out of the system."
120,GIBBS,120,"Well, you have to expect some static.
Computers are just machines after all,
they can't think..."
121,ALAN,121,They'll start to soon enough.
122,GIBBS,122,"Yes, won't that be grand -- the computers
will start thinking, and people will
stop. Lora, I'm going to stay and run some
data through. See you tomorrow."
123,LORA,123,Did you say Group 7 access?
124,ALAN,124,"Yeah...pain in the neck, you know,
I was all set"
125,LORA,125,Did he say why?
126,ALAN,126,"Something about tampering. Some body's
prob'ly trying to siphon the R&D budget
into his checking account, I don't know.
Why are you so interested?"
127,LORA,127,Flynn had Group 7 access.
128,ALAN,128,"Flynn had access to you, too. I'm not
interested in talking about him."
129,LORA,129,"Oh, I wish you'd forget about that.
It was all so long ago. I've totally
gotten over it."
130,ALAN,130,"Okay, okay..."
131,LORA,131,I want to go to his place.
132,ALAN,132,You call that getting over it?
133,LORA,133,I mean I want both of us to go.
134,ALAN,134,What for?
135,LORA,135,To warn him.
136,ALAN,136,Of what?
137,LORA,137,That Dillinger's on to him.
138,ALAN,138,For what?
139,LORA,139,For being on to Dillinger.
140,ALAN,140,What -- ?
141,LORA,141,"Hey, where's Flynn tonight?"
142,FLYNN,142,"It's all in the wrist, friends."
143,FLYNN,143,"Hey! Good to see you guys! Nothing
classes up the place like a cleancut
young couple."
144,LORA,144,We have to talk.
145,FLYNN,145,Good luck. You can't even think in here.
146,FLYNN,146,Come on.
147,FLYNN,147,So...how's the world of serious science?
148,LORA,148,"Have you been sneaking into the
ICOM system?"
149,FLYNN,149,"Whew. You never were much for small
talk."
150,FLYNN,150,"She still leave her clothes all over
the floor?"
151,LORA,151,Flynn!
152,ALAN,152,"Uh, no ... I mean, not that often -"
153,LORA,153,"You can see why all his friends are
fourteen years old."
154,FLYNN,154,"Touche, honey. Yeah, I've been doing a
little hacking here. Which I've got
every reason, as you well know..."
155,ALAN,155,You did break in.
156,FLYNN,156,Tried to.
157,FLYNN,157,"Can't quite make the connection with
that sucker, though. If I had a
direct terminal ..."
158,ALAN,158,Are you embezzling?
159,FLYNN,159,"""Embezzling"" is such an ugly word,
Mister Bailey..."
160,FLYNN,160,"No, actually I'm trying to get a
legal brief together."
161,ALAN,161,I don't get it.
162,FLYNN,162,You haven't told him?
163,FLYNN (CONT.),163,"Sherman, set the Wayback Machine
for...oh, 1973. Kevin Flynn"
164,(points to himself),164,"is one of the brightest young
software engineers at ICOM. He's so
bright that he starts going in there
at night, and sets up a private memory
file, and begins writing a program
for a video game he is inventing,
called..."
165,(points to himself),165,...Space Paranoids.
166,ALAN,166,You invented Space Paranoids?
167,FLYNN,167,"Yepper. And Vice Squad, and Meltdown...
whole slew of 'em. I was this close"
168,FLYNN,168,"to starting my own little enterprise.
But: enter Ed Dillinger. Another
software engineer -- not so young,
not so bright, but very, very sneaky.
One night, our boy Flynn goes to his
terminal, tries to read up his file,
and ... nothing. A big blank. We now
take you to three months later.
Ed Dillinger presents ICOM with five
video games he has ""invented"" -- the
slime didn't even change the names --
and he gets a big fat promotion. Thus
begins his meteoric rise to...what is
he now, Executive V.P.?"
169,ALAN,169,Senior exec.
170,FLYNN,170,"Oh my. Meanwhile, kids are putting eight
million quarters a week in Space Paranoids
machines and I'm not seeing one dime."
171,ALAN,171,"I still don't get why you're trying to
break into the system."
172,FLYNN,172,"Because somewhere... in one of those
memories ... is the evidence. If I got in
far enough, I could reconstruct it."
173,FLYNN (CONT.),173,"My password ... Dillinger's instruction to
divert the data ..."
174,LORA,174,"I'm afraid it's a little late for that.
Dillinger's shut off Group 7 access. He must
know what you're up to."
175,FLYNN,175,"Boy, I bet I know who's workin' late tonight."
176,ALAN,176,Dillinger?
177,FLYNN,177,"Yeah. Tryin' to find the file and erase it.
Once that's gone, ain't nothin' can stop him.
Just Eddie and his Master Control Program,
runnin' things from on high.."
178,LORA,178,"Don't even say that. You've got to find that
file before he does.."
179,FLYNN,179,"Not much chance of that now. The MCP can just
slip it into another system as soon as it
locates it..."
180,ALAN,180,"Not if my Tron program was running. That
would seal the system off. If your file's in
there..."
181,FLYNN,181,"Boy, if we were inside, I know how to forge
us a Group 6 access..."
182,LORA,182,Shall we dance?
183,GIBBS,183,"Ed, all I'm saying is - if our own
people can't get access to their
programs ... you know how frustrating
it is, when you're working on a piece
of research -"
184,DILLINGER,184,"Walter, I sympathize, but I have data
coming out of the Master Control Program
saying there is something screwy --"
185,GIBBS,185,"That MCP, you know, that's half the
problem right --"
186,DILLINGER,186,"The MCP is the most efficient way of
handling what we do. I can't sit and
worry about every little user request that --"
