,character,line #,line
0,X-TAKKS,0,Intruder!   Fix coordinates!
1,AGENT 1,1,"This is the first time an Intruder
has broken into X-Net!"
2,RX23 LEADER,2,"And it's the last. Follow him!
Shut him down!"
3,KROD,3,I got a lock. Coordinate 32937!
4,RX23,4,I'm on him!
5,RX23,5,Which way did he go?!
6,RUSH,6,I said WHICH WAY DID HE GO?
7,RUSH,7,"Come on guys! Nobody hacks X-Net.
You gonna let him get away?!"
8,MILES,8,"Rush, I think I found him!"
9,MILES,9,Check the old game grid!
10,RUSH,10,"You get a cookie, Miles!"
11,KROD,11,Coordinate 6532.02!   There he goes!
12,RUSH,12,"I haven't played this since I was 4.
But I was mighty awesome."
13,RUSH,13,Score an ID on this leech?
14,MILES,14,Negative.    He's nobody.
15,KELTER,15,"Rush, you've gotta nail him."
16,PHLEGMAN,16,Or you know we're all fired.
17,MILES,17,"Whoa, Rush! I groked a pattern in
his moves! Fake left, go right!"
18,MILES,18,"You got him on the run, dude!"
19,OTHERS,19,Crash him!   Rush RUSH RUSH.
20,RUSH,20,Yikes!
21,RUSH,21,He crashed me!
22,NERDS,22,FUBAR!    Bad Thing!   Flame War!
23,RUSH,23,Miles.    Did you get a trace on him?!
24,PHLEGMAN,24,We are so screwed.
25,KELTER,25,Who tells the boss?
26,RUSH,26,Get the system back up!     Now!    Move!
27,PR VP,27,"Weather is holding. Dress rehearsal
on for 6PM. In the morning, we let
the press in for a 7AM tech set-up,
then you go live worldwide 9 AM sharp."
28,SINCLAIR,28,"Delay the press until 8:30. I'll
taking the stage at 8:50. Force a
network break-in. Then it's news."
29,SINCLAIR,29,Play that again.
30,VIDEO PLAYBACK,30,"X-Net deploys radical software design,
constructs proprietary white-hot
firewalls, unleashes virus killer
apps. Creating the most secure data
network in history. Your data can
never again be hacked, corrupted,
stolen or destroyed. X-Net is the
final solution, totally guaranteed
99.999% secure data transmission -"
31,SINCLAIR,31,"Who changed that? Who put ""99.999""?"
32,PR VP,32,"Um, that would be...    Legal."
33,SINCLAIR,33,"Change it back to the way I wrote
it. With the launch of X-Net, this
company guarantees one hundred percent
secure data transmission. If we
can't deliver on that promise, we
deserve to be out of business."
34,SINCLAIR,34,"What can't wait, Rush?"
35,RUSH,35,"Um. X-Net was just breached by a
hacker."
36,RUSH,36,"System's back up, no permanent damage,
but... But whoever's behind this,
they're good, and they're still out
there."
37,SINCLAIR,37,Identify the intruder.
38,PLEXOR,38,Identity not captured.
39,SINCLAIR,39,How did he enter X-Net?
40,SINCLAIR,40,How could you let this happen?
41,PLEXOR,41,"I do what you programmed me to do.
I am constructing X-Net."
42,SINCLAIR,42,"New instructions - find and destroy
the intruder!"
43,SINCLAIR,43,"No. We can't delay the opening of X-
Net. Disregard my last command.
Maintain construction priority."
44,RUSH,44,"System is stable again, keep you
fingers crossed."
45,PHLEGMAN,45,Any luck finding the intruder?
46,RUSH,46,Don't ask.
47,RUSH,47,"What's she doing here?    This is an
operations meeting."
48,KELTER,48,"You and Meg still, eh...    At it?"
49,RUSH,49,There was never anything between us.
50,RUSH,50,"She's Advanced Projects.    This has
nothing to do with her."
51,SINCLAIR,51,"This company's existence depends on
the flawless launch of X-Net in twenty-
two hours, fifty-one minutes. Now
somebody - some hacker, some
competitor, somebody - just proved
they're smarter than us. Breaking
into X-Net is theoretically
impossible."
52,RUSH,52,"This creep's the best I've ever seen.
He crosses platforms, cracks 128 bit
encryption, cloaks every move, never
leaves a trace."
53,SINCLAIR,53,"When you find him, I'll be sure to
hire him."
54,SINCLAIR,54,"Boys and girls, we cannot sell a
secure network that is not secure."
55,PR VP,55,We delay the launch.
56,SINCLAIR,56,"And the world assumes we've got a
faulty product. And they'd be right."
57,KELTER,57,We ramp up our encryption schemes -
58,PHLEGMAN,58,Thicken all firewalls -
59,RUSH,59,"We can't win playing defense. And
it's a bigger job than just swatting
an intruder program. Somewhere,
there's a human mind behind this
thing. We have to get to that User
and shut him - or her - down, or the
game never ends."
60,SINCLAIR,60,"What do you need, Rush?"
61,RUSH,61,20 guys for 20 days -
62,SINCLAIR,62,"We don't have 20 hours. This problem
needs to be gone before tomorrow
9AM. Come on people, this company's
future is at stake! It's time to
think without a box!"
63,RUDY,63,"At a time like this, let's seek
inspiration in the past. We should
ask ourselves: What solution would
spring from the inspired mind of our
departed leader, Flynn."
64,SINCLAIR,64,Is the QF-401 is operational?
65,MEG,65,Um...   Midway into phase one testing.
66,SINCLAIR,66,"If we can't fight this intruder from
the outside, then maybe we need to
fight him from the inside."
67,MEG,67,I'm ready to do my part.
68,SINCLAIR,68,"This company needs a hero. Who among
you is the smartest, most resourceful
and courageous?"
69,MEG,69,Who else could it be?
70,RUSH,70,"Somebody going to tell me what I've
been volunteered for?"
71,SINCLAIR,71,"Rush, you're the only one I can trust
to eliminate the intruder. But you
won't be doing it the way you thought.
Meg's been working on something down
here that's, well... Beyond Top
Secret."
72,MEG,72,"This is where Flynn worked.   And
where he died."
73,SINCLAIR,73,"Meg has reconstructed Flynn's last
project. This time it works."
74,RUSH,74,"You didn't pick this up at Circuit
City. What is it?"
75,MEG,75,"A Quantum Digitizer. Prototype,
only one of its kind. Flynn designed
it to break down physical objects
into high resolution data. Luckily,
we salvaged his key components and
back-engineered the system."
76,RUSH,76,That's...   Not possible.
