,character,line #,line
0,BOBBY,0,Get off the goddamn road!
1,BOBBY,1,Fuck you!
2,BOBBY,2,No!...Not now!...Shit!
3,BOBBY,3,Oh shit!
4,BOBBY,4,You Harlin?
5,DARRELL,5,Nope.  Darrell.
6,BOBBY,6,Harlin around?
7,DARRELL,7,He's up at the Look Out.
8,BOBBY,8,Will he be back soon?
9,DARRELL,9,"Doubt it.  He's dead.  The Look Out's a
cemetery."
10,BOBBY,10,You own this place?
11,DARRELL,11,Yep.
12,BOBBY,12,Then why do you call it Harlin's?
13,DARRELL,13,'Cause Harlin used to own it.
14,BOBBY,14,But he's dead.
15,DARRELL,15,So?
16,BOBBY,16,"You want to take a look at my car?  I think
the radiator hose is--"
17,DARRELL,17,"Damn.  Gonna be another hot one today.
Sometimes I don't even want to get out of
bed. Course don't want to get out for the
cold one's neither.  Then of course the
clouds come in..."
18,BOBBY,18,"Look, Harlin, I've got places to be."
19,DARRELL,19,Darrell--
20,BOBBY,20,"OK. Darrell... Could you just take a look
at my radiator hose.  It's busted."
21,BOBBY,21,So?
22,DARRELL,22,It's your radiator hose.  It's busted.
23,BOBBY,23,"I know it's busted.  What did I just tell
you?"
24,DARRELL,24,"Well, you know so much why don't you just
fix it yourself?"
25,BOBBY,25,"If I could do you think I'd be standing
here wasting my time.  Can you fix it, or
do I have to go somewhere else?"
26,DARRELL,26,"Somewhere else?  Mister, somewhere else is
fifty miles from here. Only other gas
station down in town closed 3 years ago
when the mine got shut..."
27,BOBBY,27,"Okay, I'm stuck.  You happy?  Now can you
fix it, or not?"
28,DARRELL,28,"Yeah, I can fix it."
29,BOBBY,29,Great!
30,DARRELL,30,"Gotta run over to the yard and see if I can
find a hose like this one, or close enough.
Gonna take time."
31,BOBBY,31,How much time?
32,DARRELL,32,Time.
33,BOBBY (rewinds his watch),33,What time is it now?
34,DARRELL,34,Twenty-after-ten.
35,BOBBY,35,"Jesus.  Twenty-after-ten and it must be
ninety already."
36,DARRELL,36,"Ninety-two.  Course half hour from now
might be seventy-two. These clouds move
around a lot."
37,DARRELL,37,What happened to your hand?
38,BOBBY,38,Accident.
39,DARRELL,39,"You got to be more careful. Hands is
important.  Let me show you something. When
I was a kid, now I don't know if you can
still see it, but I gashed my fingers in a
lawnmower."
40,BOBBY,40,"I'm very interested in this but is there
someplace..."
41,DARRELL,41,"Diner up a piece.  Not much, but us simple
folk like it."
42,BOBBY,42,"I'll be back in a couple of hours.  And be
careful with her, will you?"
43,DARRELL,43,Just a car.
44,BOBBY,44,"It's not just a car. It's a sixty-four and
half Mustang convertible. That's the
difference between you and me, and why you
live here and I'm just passing through."
45,BOBBY,45,"Now do you mind? I got to get some stuff
out of the trunk."
46,BLIND MAN,46,Hey!  You there!
47,BOBBY,47,"You want something, old man?"
48,BLIND MAN,48,"Don't call me old man.  Ain't you got
no respect, boy?"
49,BOBBY,49,You want something?
50,BLIND MAN,50,"Yeah I want something.  I want you to run
over to that machine and get me a pop."
51,BOBBY,51,You can't do that yourself?
52,BLIND MAN,52,"Hell no, I can't do that myself.  I'm
blind.  Can't you see that?"
53,BOBBY,53,"I'm sorry, I didn't--"
54,BLIND MAN,54,"What'd you think I was doing out here
with these glasses on?  Sunnin' myself?"
55,BOBBY,55,"I don't know.  I thought you were keeping
the sun out of your eyes."
56,BLIND MAN,56,I ain't got no eyes.  You want to see?
57,BOBBY,57,Christ no!
58,BLIND MAN,58,"Lost my eyes in Vyee-et-nam.  Lost them
fighting the commies.  Fought the war and
lost my eyes fightin' the commies just so
you can come around here and make fun of
me."
59,BOBBY,59,I said I was sorry.
60,BLIND MAN,60,"Don't be sorry.  Just run over there and
get me my pop before I die of thirst."
61,BOBBY,61,"Yeah, sure.  You got change?"
62,BLIND MAN,62,"Change?  You want my change?  I fought the
war and lost my eyes just so I could give
you my change?"
63,BOBBY,63,"All right, old man.  Christ."
64,BLIND MAN,64,"Get me a Dr. Peppa!  I don't want no Colas.
Colas ain't nothing but flavored water."
65,BLIND MAN,65,"Don't forget to open it for me.  I can't be
opening my own bottle."
66,BOBBY,66,Christ!
67,BLIND MAN,67,"A little for Mother Earth. I'm about fifty
percent Indian, you know. To all our
relations."
68,BLIND MAN,68,Ah!  Just what I needed!  Want some?
69,BOBBY,69,I'll pass.
70,BOBBY,70,"I think you'd better give your pooch a sip.
He looks sick."
71,BLIND MAN,71,That's 'cause he's dead.
72,BOBBY,72,"Oh, Jesus."
73,BLIND MAN,73,"I hope you wasn't pettin' him none, was
you?"
74,BOBBY,74,"What the hell are you keeping a dead dog
around for?"
75,BLIND MAN,75,"He's only just dead.  What was I supposed
to do with him?  I can't take him away
anywhere.  And nobody wants to take him for
me.  Do you?"
76,BOBBY,76,Hell no!
