,character,line #,line
0,FARMER,0,"Come on, easy, girl. Easy, girl.
Easy."
1,FARMER 2,1,"This is a stubborn one, huh?"
2,FARMER 3,2,There we go. Who's a clever girl?
3,FARMER 3,3,2.
4,FARMER 2,4,"Easy does it. Easy does it. Come on,
steady does it."
5,AUCTION MAN 1,5,"Mornin', pop. Put your mark here.
Good luck.
3."
6,AUCTION MAN 2,6,Get the colt...
7,AUCTION MAN 3,7,Whoa! Whoa!
8,AUCTION MAN 3,8,"AUCTION MAN 3 (CONT'D)
Easy..."
9,DAD,9,Now that's a beauty.
10,SI EASTON,10,"Forget it, Ted. He's half
thoroughbred and not got a day's
work in him.
(points to a plow horse next to"
11,JOEY),11,"Now, there... There's your ticket."
12,DAD,12,"But look at him, Si. Look at that creature.
4."
13,SI EASTON,13,"Don't be daft. You need something
solid to plow a field."
14,DAD,14,"(fixed on Joey)
Yeah, but he's something else, that one."
15,AUCTIONEER,15,"Alright gentlemen - settle down - settle
down - horses on my right - men with money
in their pockets on my left - it's the
perfect combination. Is Fred Goddard here?"
16,FRED,16,YES! I's here.
17,AUCTIONEER,17,Good - more money than sense. Dave Hill?
18,DAVE,18,I'm here. Yes!
19,AUCTIONEER,19,"Bugger off, you tight bastard - you've been
coming here for 20 years - never bought so
much as a pork scratching."
20,AUCTIONEER (CONT'D),20,"Okay - first up today - a gorgeous young
horse - prettiest thing I've seen since my
wife on our wedding day. Let's get going,
shall we? Who wants this wonderful creature."
21,DAD,21,"One guinea.
5."
22,AUCTIONEER,22,"One guinea, one guinea, one
guinea...
YOUNG ANDREW EASTON
I thought you needed a plow horse, Mister
Narracott."
23,AUCTIONEER,23,"Any advance on one guinea? Any
advance on one guinea?"
24,LYONS,24,Two guineas.
25,DAD,25,Three!
26,SI EASTON,26,"Ted Narracott - it's completely the wrong
animal."
27,DAD,27,"Si Easton - I'm not gonna let that
bastard see me off."
28,LYONS,28,Five guineas.
29,DAD,29,Six!
30,SI EASTON,30,Oh for the love of...!
31,LYONS,31,Seven.
32,DAD,32,Greedy sod thinks he can just buy anybody.
33,(BIDDING),33,"Eight.
6."
34,SI EASTON,34,"Stop it - he's your landlord - you
can't be picking fights with him."
35,LYONS,35,Ten guineas.
36,SI EASTON,36,"You haven't got the money. Let's go
home - let's have a pint."
37,DAD,37,"Eleven guineas, sir, from as good a man as
any in this town."
38,AUCTIONEER,38,Do I hear twelve guineas? Twelve guineas?
