,character,line #,line
0,SAL,0,Ray!! Ferrier! Whoa!
1,SAL,1,"I need you back at 4:00 instead of 12:00
I got half of Korea coming in."
2,RAY,2,"No, no, no I can't. I'm on a 12 hour
blow! Call Tadesko."
3,SAL,3,"Tadesko can't move 40 containers in
an hour. I need somebody who can do
double picks."
4,RAY,4,"I wish I could help you Sal. God damn
union regulations."
5,SAL,5,"(getting angry) Come on, I'm in a position
here!"
6,RAY,6,"Come on, you remember the union regulations,
Sal."
7,SAL,7,"(angrily) You know what your problem
is?"
8,RAY,8,"(joking) I can think of a couple of
women who'd be happy to tell you."
9,RAY,9,Is it 8:30? We say that?
10,MARY ANN,10,We said 8:00.
11,RAY,11,"(changing subject) Hey, this is one
safe looking vehicle you got yourself
here Tim. Congratulations."
12,TIM,12,Thank You.
13,RAY,13,8 o'clock huh?
14,MARY ANN,14,"Um-Huh. We'll be back by 9:30 on Sunday,
depending on the traffic."
15,RAY,15,There he is! You got a hug?
16,RAY,16,"(continues) Confusing handshake? (joking)
Kick in the teeth? The door's locked.
(to Mary Ann): Still working on those
manners?"
17,RACHEL,17,Hello dad.
18,RAY,18,"Hello, Rachel!"
19,ROBBIE,19,"(during bickering, at the front door)
The door's locked."
20,MARY ANN,20,"(suit case in hand) I'll just get it
in the door."
21,RACHEL,21,"It's got rollers, just roll it."
22,MARY ANN,22,"Well we can't roll it up the stairs
now can we?"
23,RAY,23,"Really, I got it from here, okay?"
24,RAY,24,"(to Tim) It's a 302 V8. It's gonna be
out of here next week."
25,RAY,25,"(trying to get her to leave) You better
get going if you want to beat the traffic,
don't you think?"
26,MARY ANN,26,"You're out of milk. (smells it) And
everything else."
27,RAY,27,"(mad) Would you close the door please?
Now that that's my refrigerator."
28,TIM,28,"I'm gonna go wait outside. (to Rachel)
I love you sweetheart (hugs her) see
you in a few days."
29,RACHEL,29,Bye Tim.
30,MARY ANN,30,I'd better get this upstairs.
31,RACHEL,31,"(trying to get her bag form Mary Ann)
Mom, Mom!"
32,RAY,32,"Mary Ann, let me get this."
33,MARY ANN,33,I can get it.
34,RAY,34,"(rushes to close his bedroom door, as
if hiding something) Excuse me."
35,MARY ANN,35,"A little old to still be sharing aren't
they?"
36,RAY,36,I don't hear any complaints.
37,MARY ANN,37,"No, I do."
38,MARY ANN,38,"Robbie's got a paper... (looks at Robbie
to make sure he's listening) ...on the
French occupation of Algeria due Monday
which he's yet to begin. It would be
nice if he were done by the time we
got back so we don't have to keep him
up all night on Sunday."
39,ROBBIE,39,"I just got to type it up. (makes typing
motion)"
40,MARY ANN,40,"No, you just got to start writing it
first."
41,ROBBIE,41,(interrupts her) I love you mom!
42,MARY ANN,42,"I love you. (begins walking over to
Rachel) Listen to your father."
43,MARY ANN,43,"Oh, no shoes on the bed."
44,MARY ANN,44,"We'll be at my parent's house in Boston
but don't call the house line, because
you know. Well the point is I've got
my cell phone. So if anything comes
up, or if you have any questions just
call."
45,RAY,45,"Believe it or not, I can handle it."
46,MARY ANN,46,I'll leave the phone on.
47,RAY,47,"Mary Ann? (beat) It's a good look for
you."
48,MARY ANN,48,You think?
49,RAY,49,Yeah.
50,MARY ANN,50,Take care of our kids.
51,RAY,51,"Mary Ann, you got nothing to worry about.
Listen, you tell your mother that Ray
sends his love and kisses."
52,MARY ANN,52,(laughs) She'll love that.
53,ROBBIE,53,Baseball season's over.
54,RAY,54,"Five minutes. It's not going to kill
you."
55,RAY,55,"There he is. (Robbie puts on his new
cap) Boston? (hesitating) That's how
it is? (no response from Robbie) That's
how it's gonna be?"
56,RAY,56,Careful with that throw.
57,ROBBIE,57,Whatever Ray!
58,RAY,58,"Your mom says you've got a report due
on Monday, so you are going to work
on that when you're done here."
59,ROBBIE,59,"Yeah, I'm almost finished, I just got
to type it up."
60,RAY,60,"Yeah, bullshit!"
61,ROBBIE,61,"Yeah, and what do you know Ray?"
62,RAY,62,"Everything. Haven't you heard? Between
me and my brother, we know everything."
63,RACHEL,63,What's the capital of Australia?
64,RAY,64,That's one my brother knows.
65,ROBBIE,65,"Is it okay with you if I just laugh
the first 500 times you tell that one."
66,RAY,66,"Just do your report. We don't send you
to school so you can flunk out."
67,ROBBIE,67,"You don't pay for it, Tim does."
68,RAY,68,That's half of what I've got.
69,ROBBIE,69,You're an asshole. I hate coming here.
70,RAY,70,That why you act like such a dick?
71,RAY,71,What?
72,RACHEL,72,"That's not how you're going to get through
to him. You want him to listen to you..."
73,RAY,73,"(interrupts her) What are you? Your
mother or mine?"
74,RACHEL,74,Where are you going?
75,RAY,75,To sleep. I work for a living.
76,RACHEL,76,What are we supposed to eat?
