,character,line #,line
0,MORTON,0,"Madman... Hideous spider... Run...
Run! Warn the President..."
1,MORTON,1,Noooooooo!!!!!
2,McGRATH,2,"And they says you scientists are
supposed to be smart."
3,SALOON GIRL (O.S.),3,"The legendary Captain James West
and I finally got him all to
myself."
4,WEST,4,"That's right, sugar, and you
should feel free to treat him
just bad."
5,WEST,5,"General McGrath's boys. I thought
y'all was never gonna show up."
6,SALOON GIRL,6,"Mister West, you wouldn't be here
workin' tonight, now would you?"
7,WEST,7,"No, no. 'Course not. Not tonight.
Would you be working if you were up
here with you?"
8,SALOON GIRL,8,Good.
9,DORA,9,"I'm sorry. That won't be
possible. I have... tonsillitis."
10,BIG REB,10,"Pack'er up good, Virgil.    Next stop
N'Orleans."
11,SALOON GIRL,11,Jim!
12,WEST,12,"Ah, this hole is a safety issue.
I'm thinking, what if it starts to
rain and the water level goes up.
It could suck you right up. I'm
protecting you. (variations)"
13,SALOON GIRL,13,Problem solved.
14,WEST,14,"Belle, you don't just ram a man's
underbritches into a knothole.
You wanna plug the hole, you ram
your own britches in there."
15,SALOON GIRL,15,"Oh, Jim."
16,WEST,16,"Much as I'd like to take credit
for that you might need to hand
me my gun..."
17,WEST,17,... Hand me my gun.
18,WEST,18,"Okay, who just made a wish?
Was it you?"
19,WEST,19,"I could sure use those clothes
now."
20,BIG REB,20,"Well, we got us a shy nig..."
21,WEST,21,"Fought five long years with the
Union Army not to hear that word
again. And you boys lost,
remember?"
22,WEST,22,How 'bout some pants!?
23,McGRATH,23,"I'm still waiting on my guns and
ammo, but I see my men have
brought your merchandise."
24,McGRATH,24,"I had expected to be delivering it
personally to Mr..."
25,HUDSON,25,"My employer, here in a brothel?"
26,HUDSON,26,That would be quite... redundant.
27,HUDSON,27,"You'll meet him when the time --
and place -- are appropriate.
Now..."
28,HUDSON,28,"... shall we go upstairs to check
the 'merchandise'?"
29,McGRATH,29,"Frankly, Mr. Hudson, I wasn't
planning to walk those oaken
stairs with you. Direct me to the
poot, sir. Something young and
creamy. A gamer that takes to the
crop and spur."
30,EYE-CROSSED REB,30,"You drive a hard bargain, lady.
All right, fifty cents to take
them big juicy lips and..."
31,DORA,31,Still not interested.
32,EYE-CROSSED REB,32,"But you gotta be interested.
You're a whore."
33,DORA,33,"That doesn't mean a girl can't
have high standards."
34,WEST,34,"Could I have a little privacy
here?"
35,WEST,35,Thank you.
36,WEST,36,"You'll have to excuse me,
darlin'... but my evidence is
getting away."
37,WEST,37,"Sorry about there not being any
towels."
38,McGRATH,38,"What's your name, missy?"
39,GORDON/DORA,39,"Dora. Would you like to go
upstairs?"
40,McGRATH,40,"Oh, indeedy I would."
41,EYE-CROSSED REB,41,"Hey, c'mere!   Who the hell are you
anyway?!"
42,McGRATH,42,She's... mine!
43,McGRATH,43,I feel like... a ditty!
44,GORDON/DORA,44,A ditty? But General...
45,GORDON/DORA,45,"... my talents really lay
elsewhere."
46,McGRATH,46,"Nothing stokes the fire in my
loins like a ditty."
47,McGRATH,47,"You've got some pretty fair lungs
on ya, girl, now use 'em!"
48,GORDON/DORA,48,"'Buy a drink for the boys
In the backroom for me...'"
49,WEST,49,"Backwards-ass bumpkins got a wagon
full of nitro...!"
50,GORDON/DORA,50,"'And tell them I tried...
And tell them I cried...'"
51,WEST,51,Whoa now...!
52,WEST,52,"I said, whoa!!!"
53,WEST,53,"Well, well, this is workin' out to
be a perfect day. My man..."
54,WEST (O.S.),54,... General Bloodbath McGrath.
55,GORDON/CROWD,55,"And tell them I tried just the
same...!"
56,GORDON/DORA,56,"Well, that's a new one."
57,McGRATH,57,"Don't let the ear scare you.    I
lost it at Chickamauga."
58,GORDON/DORA,58,"Oh really. One can hardly
notice..."
59,GORDON/DORA,59,"Would you mind...? I... I...
can't seem to release the clasp of
my belt."
60,McGRATH,60,Wha... what's this?
