,character,line #,line
0,DRUID,0,Is it a girl?
1,ETHNA,1,It is a girl.
2,DRUID,2,Show me its arm.
3,DRUID,3,"It's true then.  I must tell Queen
Bavmorda."
4,MOTHER,4,"Ethna, please.  Help me.  They're
going to kill my baby."
5,ETHNA,5,They'll kill you.
6,MOTHER,6,Please save my baby.
7,ETHNA,7,Pretend this is the child.
8,MOTHER,8,"Thank you, Ethna.  Thank you."
9,BAVMORDA,9,"We will start the ritual at dusk.
You're certain this is the one?"
10,DRUID,10,It bears the markings.
11,BAVMORDA,11,"I must see for myself!  Just as the
omen foretold!"
12,BAVMORDA,12,So.  You *were* the one.
13,MOTHER,13,"Yes.  But nothing you can do will
stop the prophecy."
14,BAVMORDA,14,"This child will have no power over
me...."
15,BAVMORDA,15,Where's the baby!
16,GUARD,16,The midwife!
17,BAVMORDA,17,"Find that baby!  Use the dogs!
Sorsha!"
18,BAVMORDA,18,Kill her.
19,DEATH DOG,19,Bordak!
20,MIDWIFE,20,I don't have her!  No!  No!
21,RANON,21,"Dada!  We found something in the
river!"
22,WILLOW,22,"I can't run off and play with you
now.  I've got work to do."
23,WILLOW,23,"But Dada, you gotta see it!  Hurry!"
24,WILLOW,24,"Back!  Don't go near it.  We don't
know where it's been.  It could be
diseased."
25,MIMS,25,It's a baby!
26,RANON,26,It's not a Nelwyn baby.
27,WILLOW,27,"No, it's too big to be a Nelwyn
baby.  It looks like a daikini..."
28,MIMS,28,"Ooh, it's so cute..."
29,WILLOW,29,"Mims!  Get back here!  It might
bite you."
30,RANON,30,"Can't we keep it, Dada?"
31,WILLOW,31,Absolutely not.
32,WILLOW,32,Ufgood!  Willow Ufgood!
33,WILLOW,33,"Shhh, shhh!  It's the Prefect --
that's all I need.  Mims, Ranon,
keep this thing hidden..."
34,KIAYA,34,"Mr. Burglekutt!  He hasn't done
anything wrong!"
35,KIAYA,35,"Ufgood!  What do you think you're
doing!  I tell the planting seeds
in this village."
36,KIAYA,36,"I told him we didn't steal it, Wil-
low."
37,KIAYA,37,"You haven't paid your debts.  Where
did you get these seeds?"
38,WILLOW,38,"In the forest.  My family's been
gathering them since last fall.
There's no law against that, Bur-
glekutt."
39,KIAYA,39,"Willow!  You left the children
alone by the river??"
40,KIAYA,40,"Too late, Ufgood.  You'll never get
your planting done before the rains
start.  You're gonna lose this
land."
41,WILLOW,41,"Absolutely, under no condition, is
anyone in this family going to fall
in love with that baby."
42,WILLOW,42,"Kiaya!  We can't keep that baby.
Mims, Ranon.  Hey!  I will not be
ignored!"
43,WILLOW,43,"This is bad.  If we're caught with
that little daikini it'll be the
end of us.  Careful, Ranon, I need
that for the festival.
(indicates magic cloth)
Kiaya, what are we going to do?"
44,KIAYA,44,We're gonna give this baby a bath.
45,WILLOW,45,"Burglekutt's right.  There's not
enough time to finish plowing.
We'll lose everything and I'll end
up working in the mines."
46,KIAYA,46,"Willow, do you think we should take
her to the Village Council?"
47,WILLOW,47,"No, no!  They'll think it's a bad
omen.  There'll be a flood or a
drought or a plague and
everybody'll blame me for it!"
48,RANON,48,Look.  What's that?
49,WILLOW,49,"I don't know.  This is trouble.
I'll talk to the High Aldwin about
it tomorrow at the Festival."
50,WILLOW,50,"And now!  For our final amazing bit
of magic, I will make an entire pig
completely disappear!"
51,CROWD,51,Aaww!  Booo!  Sssss!
