,euclidean_sentiment,manhattan_sentiment,euclidean_diff,manhattan_diff,dtw_sentiment,gold_standard_cluster
8mm_WELLES,3,1,2,0,2,
8mm_MAX,8,6,5,0,3,
8mm_EDDIE,2,7,6,5,5,
ALongKissGoodnight_SAMANTHA,3,2,2,0,1,
ALongKissGoodnight_HENESSEY,6,1,6,2,5,
ALongKissGoodnight_TIMOTHY,1,7,1,6,4,casanova
ALongKissGoodnight_CHARLY,5,0,1,1,1,
Aliens_RIPLEY,2,2,0,2,1,final_girl
Aliens_BURKE,4,2,2,2,1,corrupt_corporate_executive
Aliens_HUDSON,6,1,6,2,5,
Aliens_HICKS,1,2,3,7,1,
AllThePresidentsMen_WOODWARD,2,7,0,5,2,
AllThePresidentsMen_BERNSTEIN,3,1,0,0,2,
AllThePresidentsMen_BRADLEE,5,0,6,5,1,the_editor
Arthur_ARTHUR,3,2,0,0,2,ditz
Arthur_HOBSON,6,1,6,5,5,
Arthur_NAOMI,4,1,2,0,1,
AttackOfTheClones_PADM,2,1,1,5,4,
AttackOfTheClones_OBIWAN,3,0,0,0,1,master_swordsman
AttackOfTheClones_ANAKIN,3,1,2,0,2,
BlueVelvet_JEFFREY,3,1,0,0,2,
BlueVelvet_SANDY,2,0,4,1,0,
BlueVelvet_DOROTHY,1,2,2,2,8,chanteuse
BookOfEli_ELI,3,1,8,2,1,crazy_survivalist
BookOfEli_CARNEGIE,8,6,5,0,4,
BookOfEli_SOLARA,0,3,8,0,0,
BoondockSaints_CONNOR,3,1,2,2,1,
BoondockSaints_MURPHY,7,4,0,3,1,
BoondockSaints_SMECKER,2,7,1,5,4,
BoondockSaints_ROCCO,3,1,7,3,1,
BountyHunter_CASS,3,1,0,0,2,
BountyHunter_MILO,2,2,8,2,2,bounty_hunter
Chinatown_GITTES,3,1,0,0,2,hardboiled_detective
Chinatown_EVELYN,1,7,8,2,1,
Chinatown_ESCOBAR,8,3,5,1,0,
Chinatown_CROSS,5,0,6,3,4,corrupt_corporate_executive
EdwardScissorhands_PEG,0,8,6,0,1,
EdwardScissorhands_KIM,5,3,6,5,6,
FabulousBakerBoys_JACK,3,1,6,5,2,
FabulousBakerBoys_FRANK,3,1,0,5,2,
FabulousBakerBoys_SUSIE,1,2,0,2,8,chanteuse
FightClub_JACK,3,1,0,0,2,
FightClub_TYLER,3,0,8,7,1,trickster
FightClub_MARLA,0,3,3,7,6,
FridayThe13th_NANCY,0,1,2,5,2,
FridayThe13th_GLEN,0,8,4,8,6,
FridayThe13th_MARGE,4,5,3,7,1,
GiJane_DEHAVEN,7,8,2,0,6,
GiJane_JORDAN,2,7,0,5,2,
GiJane_ROYCE,1,7,2,2,0,
GiJane_CO,0,8,7,3,6,
GiJane_THECHIEF,2,1,6,8,1,drill_sargeant_nasty
HighFidelity_ROB,3,1,0,2,2,loser_protagonist
HighFidelity_LAURA,1,2,1,0,1,
HighFidelity_BARRY,2,0,4,1,6,
Highlander_CONOR,0,4,5,2,6,
Highlander_TAUPIN,2,7,0,5,1,
Highlander_BRENNA,4,1,2,0,1,
Highlander_ROMIREZ,7,4,2,0,7,
HisGirlFriday_HILDY,3,1,2,0,1,
HisGirlFriday_BRUCE,8,0,8,0,3,
HisGirlFriday_BURNS,0,8,7,3,6,the_editor
HisGirlFriday_MURPHY,1,2,2,6,1,
HisGirlFriday_HARTMAN,0,3,6,5,6,
HisGirlFriday_MAYOR,0,4,5,0,3,
Inception_COBB,3,1,2,6,2,byronic_hero
Inception_ARTHUR,2,0,1,6,1,
Inception_SAITO,1,2,0,2,0,
Inception_MAL,7,4,2,0,6,
Inception_ARIADNE,1,2,2,1,8,
Inception_EAMES,1,2,1,2,1,loveable_rogue
Inception_FISCHER,0,8,2,0,6,
IndianaJonesAndTheTempleOfDoom_INDIANA,3,1,0,0,2,adventurer_archaeologist
IndianaJonesAndTheTempleOfDoom_WILLIE,3,1,2,6,1,
IndianaJonesAndTheTempleOfDoom_SHORTROUND,7,4,2,6,6,
KnockedUp_PETE,4,1,2,0,1,
KnockedUp_DEBBIE,2,7,0,0,6,
KnockedUp_ALISON,2,7,6,5,2,
KnockedUp_JASON,4,1,3,0,1,
KnockedUp_BEN,2,2,0,0,2,slacker
LAConfidential_HUDGEONS,5,0,1,4,6,
LAConfidential_BUD,3,1,2,0,2,crazy_jealous_guy
LAConfidential_JACK,6,1,6,5,5,
LAConfidential_EXLEY,4,1,0,2,1,
LAConfidential_LYNN,1,2,3,2,6,
LAConfidential_DUDLEY,2,7,1,5,4,
ObserveAndReport_RONNIE,3,1,0,0,2,
ObserveAndReport_BRANDI,1,2,1,5,1,dumb_blonde
ObserveAndReport_DETECTIVEHARRISON,4,1,3,7,1,
Pirates-of-the-Caribbean-Dead-Man's-Chest_ELIZABETHSWANN,0,8,4,8,0,
Pirates-of-the-Caribbean-Dead-Man's-Chest_WILLTURNER,3,2,0,0,1,
Pirates-of-the-Caribbean-Dead-Man's-Chest_GIBBS,7,4,2,6,6,
Pirates-of-the-Caribbean-Dead-Man's-Chest_JACKSPARROW,3,1,0,0,1,loveable_rogue
ReservoirDogs_MRPINK,2,7,1,4,0,
ReservoirDogs_JOE,7,8,7,3,6,
ReservoirDogs_MRWHITE,2,0,1,6,1,
ReservoirDogs_EDDIE,7,3,0,0,6,
SilenceoftheLambs_CLARICE,3,1,2,0,2,
SilenceoftheLambs_CRAWFORD,4,2,3,2,8,
SilenceoftheLambs_DRLECTER,3,1,2,6,1,charmer
Slingblade_WOOLRIDGE,4,5,3,2,4,
Slingblade_KARL,3,1,0,0,2,dumb_muscle
Slingblade_FRANK,4,2,3,2,1,
Slingblade_LINDA,8,0,2,0,3,
Slingblade_VAUGHAN,2,7,0,5,1,
Slingblade_DOYLE,2,7,6,5,1,
Snatch_TOMMY,7,4,6,0,5,
Snatch_HANDS,0,3,4,1,6,
Snatch_BRICKTOP,7,4,2,6,6,
Snatch_TURKISH,2,7,0,5,0,
Snatch_VINNY,3,7,2,0,1,stupid_crooks
Snatch_SOL,0,8,6,8,6,stupid_crooks
Snatch_BTT,8,6,2,0,8,psycho_for_hire
StarWarsANewHope_THREEPIO,5,0,6,5,6,
StarWarsANewHope_LUKE,3,1,0,0,2,
StarWarsANewHope_BEN,8,0,5,0,3,
StarWarsANewHope_HAN,6,1,6,5,6,loveable_rogue
StarWarsTheEmpireStrikesBack_LUKE,4,2,2,2,1,
StarWarsTheEmpireStrikesBack_HAN,3,1,6,0,6,loveable_rogue
StarWarsTheEmpireStrikesBack_LEIA,3,1,8,0,6,
StarWarsTheEmpireStrikesBack_THREEPIO,1,2,0,2,1,
StrangeDays_LENNY,3,1,0,5,2,byronic_hero
StrangeDays_FAITH,7,4,3,7,6,
StrangeDays_MAX,0,1,1,8,1,
StrangeDays_MACE,3,1,0,8,1,
TheMatrix_TRINITY,3,0,0,0,1,
TheMatrix_AGENTSMITH,1,7,2,5,0,consummate_professional
TheMatrix_MORPHEUS,8,0,6,3,1,
TheMatrix_NEO,0,3,5,0,6,
TheMatrix_TANK,2,7,0,5,2,
allabouteve_KAREN,5,0,1,5,0,
allabouteve_EVE,2,7,1,5,1,
allabouteve_MARGO,2,7,1,5,2,prima_donna
allabouteve_LLOYD,1,7,1,5,1,
allabouteve_BILL,7,4,6,2,5,
allabouteve_ADDISON,0,3,2,0,0,
antitrust_GARY,0,8,7,0,3,corrupt_corporate_executive
antitrust_ALICE,2,2,2,6,1,
antitrust_MILO,3,2,0,0,2,
antitrust_LISA,4,5,3,2,1,
apocolysenow_WILLARD,3,1,0,0,2,father_to_his_men
apocolysenow_KURTZ,0,3,5,0,0,warrior_poet
apocolysenow_CHIEF,6,1,1,5,7,
apocolysenow_CHEF,1,6,8,2,0,
apocolysenow_KILGORE,0,8,6,0,5,
badlietenant_LT,3,1,0,2,1,dirty_cop
beingjohn_LOTTE,1,2,0,0,1,granola_person
beingjohn_CRAIG,3,1,0,0,2,
beingjohn_LESTER,3,0,8,7,6,
beingjohn_MAXINE,8,0,8,0,0,
beingjohn_MALKOVICH,3,1,6,3,5,
blackklansman_RONSTALLWORTH,3,1,0,2,2,
blackklansman_FLIP,2,7,2,4,1,
blackklansman_PATRICE,6,1,1,5,4,
blackklansman_FELIX,3,1,2,0,1,
blackpanther_TCHALLA,0,3,2,0,2,
blackpanther_NAKIA,2,0,1,6,0,
blackpanther_KILLMONGER,1,6,8,2,0,
blackpanther_KLAUE,0,8,4,8,3,
blackpanther_ROSS,0,3,5,0,6,
blade_BLADE,3,1,2,0,1,master_swordsman
blade_KAREN,3,2,2,6,1,
blade_WHISTLER,0,8,4,8,6,
blade_FROST,1,2,8,7,0,
bladerunner_DECKARD,3,2,2,0,1,bounty_hunter
bladerunner_BATTY,5,0,7,3,0,
bladerunner_SEBASTIAN,4,5,3,2,4,
bladerunner_RACHAEL,4,2,0,5,5,
bourneidentity_CONKLIN,1,2,3,2,1,
bourneidentity_BOURNE,3,1,2,0,2,hitman_with_a_heart
bourneidentity_MARIE,3,1,0,0,0,
casino_ACE,3,1,0,0,2,consummate_professional
casino_NICKY,8,0,2,2,1,
casino_MARINO,0,1,4,1,0,
casino_GINGER,1,2,2,2,6,
casino_LESTER,6,1,1,4,5,
clerks_DANTE,3,1,2,0,2,
clerks_JAY,5,0,6,3,6,
clerks_VERONICA,6,1,1,4,4,
clerks_RANDAL,0,8,2,0,1,bromantic_foil
clerks_CAITLIN,8,0,5,0,3,
coco_MIGUEL,3,2,0,5,2,
coco_DELACRUZ,8,0,0,0,6,
coco_HCTOR,6,1,1,5,1,
coco_MAMIMELDA,0,8,6,0,6,
crouchingtiger_LI,3,0,0,0,1,warrior_poet
crouchingtiger_YU,0,8,0,0,0,arrogant_kungfu_guy
crouchingtiger_JEN,2,0,4,1,1,
deadpoetssociety_TODD,0,1,4,1,6,
deadpoetssociety_NEIL,6,1,6,5,5,
deadpoetssociety_KNOX,2,7,1,4,1,
deadpoetssociety_CHARLIE,4,1,2,0,1,
deadpoetssociety_KEATING,8,3,5,0,1,
deathtosmooch_RANDOLPH,3,2,2,6,1,
deathtosmooch_NORA,3,1,0,8,1,
deathtosmooch_SHELDON,2,2,3,2,1,granola_person
deathtosmooch_BURKE,2,0,1,4,6,
devilwearsprada_ANDY,3,1,0,0,2,
devilwearsprada_EMILY,6,1,6,5,7,
devilwearsprada_MIRANDA,3,1,2,6,6,
dumbanddumber_LLOYD,3,1,0,0,2,
dumbanddumber_HARRY,3,1,2,6,2,doormat
election_TRACY,7,4,0,0,6,
election_JIM,0,1,0,8,1,
election_PAUL,0,3,8,0,4,brainless_beauty
fantasticfour_REED,3,1,2,0,1,
fantasticfour_BEN,0,1,4,1,1,
fantasticfour_VICTOR,4,1,3,7,1,
fantasticfour_SUE,2,7,2,0,1,
fantasticfour_JOHNNY,3,0,0,0,1,
fargo_JERRY,0,1,1,5,5,stupid_crooks
fargo_CARL,7,8,0,0,5,
fargo_MARGE,2,7,6,5,2,
ferrisbueller_JEANIE,0,3,4,1,6,
ferrisbueller_FERRIS,3,1,0,5,1,
ferrisbueller_CAMERON,4,1,0,0,5,
ferrisbueller_SLOANE,0,1,2,0,6,
gladiator_COMMODUS,1,7,2,2,1,evil_prince
gladiator_LUCILLA,1,2,0,0,0,
gladiator_MAXIMUS,4,1,3,7,1,father_to_his_men
gladiator_PROXIMO,3,0,0,2,1,
grudge_KAREN,0,8,7,3,0,
grudge_SUSAN,0,4,5,2,3,
haroldandkumar_HAROLD,3,1,8,2,2,stoner
haroldandkumar_KUMAR,3,1,0,0,2,stoner
heat_HANNA,3,1,2,0,2,
heat_NEIL,2,7,0,3,1,gentleman_thief
inventionoflying_JENNIFER,3,1,1,3,6,
inventionoflying_MARK,3,1,2,0,2,loser_protagonist
inventionoflying_GREG,5,0,6,5,4,
kateleopold_LEOPOLD,3,1,2,0,2,cultured_badass
kateleopold_KATE,3,1,0,5,2,
kateleopold_CHARLIE,4,1,0,0,6,
kungfupanda_PO,4,1,0,2,2,
kungfupanda_SHIFU,4,1,3,7,1,
lalaland_MIA,8,0,6,0,2,
lalaland_SEBASTIAN,5,0,1,1,6,
menwhostareatgoats_BOB,2,7,0,5,2,
menwhostareatgoats_LYNCASSADY,3,1,2,6,2,
minorityreport_WITWER,5,0,6,3,1,
minorityreport_ANDERSON,2,7,2,0,1,
minorityreport_LISA,0,1,4,1,6,
missionimpossible_ETHAN,3,1,2,0,2,tranquil_fury
missionimpossible_CLAIRE,3,0,8,7,6,
missionimpossible_PHELPS,4,1,2,6,1,
missionimpossible_KITTRIDGE,5,3,4,1,6,
piano_FLORA,6,1,1,4,1,
piano_BAINES,5,0,6,5,6,
piano_STEWART,3,1,2,5,1,crazy_jealous_guy
pineappleexpress_DALE,3,1,0,0,2,stoner
pineappleexpress_SAUL,3,1,2,0,2,stoner
pineappleexpress_RED,2,7,6,5,4,stoner
platoon_BARNES,0,1,4,8,6,drill_sargeant_nasty
platoon_CHRIS,5,1,0,5,2,
platoon_ELIAS,6,1,6,5,5,
platoon_KING,2,7,0,5,5,
platoon_RHAH,1,2,2,6,1,
powerangers_TOMMY,4,2,2,6,1,
powerangers_IVAN,4,5,3,2,1,
predator_SCHAEFER,3,1,8,2,1,
predator_DILLON,5,0,6,5,6,
princessbride_BUTTERCUP,1,6,8,2,0,
princessbride_WESTLEY,1,6,8,2,0,
princessbride_HUMPERDINCK,1,2,0,0,0,evil_prince
princessbride_VIZZINI,7,4,2,0,7,
princessbride_INIGO,4,5,3,2,4,master_swordsman
princessbride_FEZZIK,4,5,2,0,6,dumb_muscle
princessbride_MANINBLACK,8,6,5,0,3,
pulpfiction_JULES,5,3,4,1,6,
pulpfiction_VINCENT,4,1,3,2,1,stupid_crooks
pulpfiction_BUTCH,3,0,8,7,0,
pulpfiction_MIA,7,4,5,2,7,
pulpfiction_FABIENNE,8,0,5,0,1,
raidersofthelostark_INDY,3,1,0,0,1,adventurer_archaeologist
raidersofthelostark_MARION,0,8,7,3,6,
returnoftheking_SAM,0,4,0,2,6,
returnoftheking_GANDALF,2,0,2,5,6,
rocky_ROCKY,3,1,0,2,2,
rocky_ADRIAN,0,4,0,0,6,
rocky_MICKEY,5,3,6,0,0,
rocky_PAULIE,5,3,6,5,6,
rockyhorrorpictureshow_BRAD,3,3,2,0,0,
rockyhorrorpictureshow_JANET,4,1,5,2,6,
rockyhorrorpictureshow_FRANK,2,0,1,1,3,crazy_jealous_guy
scarface_TONY,3,1,0,2,2,crazy_jealous_guy
startrek2_SAAVIK,1,2,0,0,0,
startrek2_SPOCK,2,7,0,5,0,
startrek2_KIRK,3,1,0,5,2,
startrek2_BONES,4,2,3,2,1,
startrek2_KHAN,1,7,1,6,4,revenge
terminator_REESE,0,3,4,1,6,
terminator_SARAH,2,2,0,0,1,final_girl
thebigsick_KUMAIL,3,1,0,5,2,
thebigsick_EMILY,0,8,5,0,6,
thebigsick_BETH,2,7,0,5,3,
thebigsick_TERRY,0,1,2,0,3,
thesocialnetwork_MARK,1,2,2,2,2,
thesocialnetwork_ERICA,7,4,2,0,7,
thesocialnetwork_CUTTO,5,0,6,5,6,
thesocialnetwork_EDUARDO,5,0,6,5,1,
thesocialnetwork_CAMERON,5,0,1,1,0,
