,trope,char,movie,actor
1,absent_minded_professor,Professor Philip Brainard,Flubber,Robin Williams
2,absent_minded_professor,Professor Keenbean,Richie Rich,Michael McShane
3,absent_minded_professor,Dr. Reinhardt Lane,The Shadow,Ian McKellen
4,absent_minded_professor,Dr. Harold Medford,Them!,Edmund Gwenn
5,absent_minded_professor,Daniel Jackson,Stargate,James Spader
6,adventurer_archaeologist,Indiana Jones,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford
7,adventurer_archaeologist,Indiana Jones,Indiana Jones and the Raiders of the Lost Ark,Harrison Ford
8,adventurer_archaeologist,Indiana Jones,Indiana Jones and the Temple of Doom,Harrison Ford
9,adventurer_archaeologist,Evelyn Carnahan-O'Connell,The Mummy,Rachel Weisz
10,arrogant_kungfu_guy,Han,Enter the Dragon,Shih Kien
11,arrogant_kungfu_guy,Johnny Lawrence,The Karate Kid,William Zabka
12,arrogant_kungfu_guy,Jen Yu,"Crouching Tiger, Hidden Dragon",Zhang Ziyi
13,arrogant_kungfu_guy,Pai Mei,Kill Bill Volume 2,Chia Hui Liu
14,arrogant_kungfu_guy,Apollo Creed,Rocky,Carl Weathers
15,arrogant_kungfu_guy,Clubber Lang,Rocky III,Mr. T
16,arrogant_kungfu_guy,Storm Shadow,G.I. Joe: The Rise of Cobra,Lee Byung-Hun
17,arrogant_kungfu_guy,Kurgan,Highlander,Clancy Brown
18,arrogant_kungfu_guy,Anakin Skywalker,Star Wars Episode III: Revenge of the Sith,Hayden Christensen
19,big_man_on_campus,Guy Perkins,Never Been Kissed,Jeremy Jordan
20,big_man_on_campus,John Tucker,John Tucker Must Die,Jesse Metcalfe
21,big_man_on_campus,Woody Deane,It's a Boy Girl Thing,Kevin Zegers
22,big_man_on_campus,Van Wilder,National Lampoon's Van Wilder,Ryan Reynolds
23,big_man_on_campus,Paul Metzler,Election,Chris Klein
24,big_man_on_campus,Troy Bolton,High School Musical,Zac Efron
25,big_man_on_campus,Mike Dexter,Can't Hardly Wait,Peter Facinelli
26,bounty_hunter,Man with No Name,For a Few Dollars More,Clint Eastwood
27,bounty_hunter,Josey Wales,The Outlaw Josey Wales,Clint Eastwood
28,bounty_hunter,Jellon Lamb,The Proposition,John Hurt
29,bounty_hunter,Beck,The Rundown,The Rock
30,bounty_hunter,Rick Deckard,Blade Runner,Harrison Ford
31,bounty_hunter,Leonard Smalls,Raising Arizona,"Randall ""Tex"" Cobb"
32,bounty_hunter,Jack Walsh,Midnight Run,Robert De Niro
33,bounty_hunter,Milo Boyd,The Bounty Hunter,Gerard Butler
34,bounty_hunter,Toombs,The Chronicles of Riddick,Nick Chinlund
35,bounty_hunter,Nick Randall,Wanted: Dead or Alive,Rutger Hauer
36,brainless_beauty,Gemma Honeycutt,Fool's Gold,Alexis Dziena
37,brainless_beauty,Matt Mateo,The Opposite of Sex,Ivan Sergei
38,brainless_beauty,Paul Metzler,Election,Chris Klein
39,brainless_beauty,Shelley Darlingson,The House Bunny,Anna Faris
40,brainless_beauty,Brace Channing,My Favorite Martian,Elizabeth Hurley
41,brainless_beauty,Mia,Stan Helsing,Desi Lydic
42,brainless_beauty,Marcia Brady,The Brady Bunch Movie,Christine Taylor
43,brainless_beauty,Chris,Roxanne,Rick Rossovich
44,brainless_beauty,Buffy Summers,Buffy the Vampire Slayer,Kristy Swanson
45,brainless_beauty,Brad,Extract,Dustin Milligan
46,brainless_beauty,Jack Bartlett,Sugar & Spice,James Marsden
47,brainless_beauty,Maggie Feller,In Her Shoes,Cameron Diaz
48,broken_bird,Chelsea Deardon,Legal Eagles,Daryl Hannah
49,broken_bird,Mad Hatter,Alice in Wonderland,Johnny Depp
50,broken_bird,Nicole Oakley,Crazy/Beautiful,Kirsten Dunst
51,broken_bird,Annie Newton,The Invisible,Margarita Levieva
52,broken_bird,Nina Sayers,Black Swan,Natalie Portman
53,bromantic_foil,Randal Graves,Clerks.,Jeff Anderson
54,bromantic_foil,Randal Graves,Clerks II,Jeff Anderson
55,bromantic_foil,Brodie Bruce,Mallrats,Jason Lee
56,bromantic_foil,Banky Edwards,Chasing Amy,Jason Lee
57,bromantic_foil,Ed,Shaun of the Dead,Nick Frost
58,bruiser_with_a_soft_center,Hellboy,Hellboy: Blood and Iron,Ron Perlman
59,bruiser_with_a_soft_center,Tron,Tron,Bruce Boxleitner
60,bruiser_with_a_soft_center,James Bond,Casino Royale,Daniel Craig
61,bully,Biff Tannen,Back to the Future,Thomas F. Wilson
62,bully,Scut Farkus,A Christmas Story,Zack Ward
63,bully,Vanessa,The Grudge 2,Teresa Palmer
64,byronic_hero,Jake LaMotta,Raging Bull,Robert De Niro
65,byronic_hero,James Bond,Casino Royale,Daniel Craig
66,byronic_hero,Travis Bickle,Taxi Driver,Robert De Niro
67,byronic_hero,Anakin Skywalker,Star Wars Episode III: Revenge of the Sith,Hayden Christensen
68,byronic_hero,Martin Q. Blank,Grosse Pointe Blank,John Cusack
69,byronic_hero,Brand Hauser,War Inc.,John Cusack
70,byronic_hero,Cobb,Inception,Leonardo DiCaprio
71,byronic_hero,Achilles,Troy,Brad Pitt
72,byronic_hero,Britt Reid,The Green Hornet,Seth Rogen
73,byronic_hero,Donnie Darko,Donnie Darko,Jake Gyllenhaal
74,byronic_hero,Captain Jack Sparrow,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp
75,byronic_hero,"John Wilmot, 2nd Earl of Rochester",The Libertine,Johnny Depp
76,byronic_hero,Robert Angier,The Prestige,Hugh Jackman
77,byronic_hero,Tony Stark,Iron Man,Robert Downey Jr.
78,byronic_hero,Loki,Thor,Tom Hiddleston
79,byronic_hero,Lenny Nero,Strange Days,Ralph Fiennes
80,byronic_hero,Bill 'The Butcher' Cutting,Gangs of New York,Daniel Day-Lewis
81,casanova,Giacomo Casanova,Casanova,Heath Ledger
82,casanova,Telly,Kids,Leo Fitzpatrick
83,casanova,Tony Stark,Iron Man,Robert Downey Jr.
84,casanova,Dorian Gray,The League of Extraordinary Gentlemen,Stuart Townsend
85,casanova,"John Wilmot, 2nd Earl of Rochester",The Libertine,Johnny Depp
86,casanova,Timothy,The Long Kiss Goodnight,Craig Bierko
87,casanova,Johnny Wickham,Bride and Prejudice,Daniel Gillies
88,chanteuse,Jessica Rabbit,Who Framed Roger Rabbit,Kathleen Turner
89,chanteuse,Tina Carlyle,The Mask,Cameron Diaz
90,chanteuse,Susie Diamond,The Fabulous Baker Boys,Michelle Pfeiffer
91,chanteuse,Sugar Kane Kowalczyk,Some Like It Hot,Marilyn Monroe
92,chanteuse,Dorothy Vallens,Blue Velvet,Isabella Rossellini
93,chanteuse,Ellen Aim,Streets of Fire,Diane Lane
94,charmer,James Bond,Casino Royale,Daniel Craig
95,charmer,Han Solo,Star Wars Episode IV: A New Hope,Harrison Ford
96,charmer,Captain Jack Sparrow,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp
97,charmer,Frank Abagnale Jr.,Catch Me If You Can,Leonardo DiCaprio
